sample_id,z,y
2509401,1,2.1853862166425735
2118553,0,2.052091307324869
1080039,0,2.3388154375844126
3804419,1,2.1643705666688726
3329335,1,2.299316863471571
750963,1,2.2763621682397495
1289241,1,2.3572681896584404
870008,1,2.0059322741353207
3674119,0,3.516828348016218
1361121,1,3.1650149566895625
3952783,1,2.6954981499990005
2605437,1,3.2156689555823124
411059,0,2.818861341594647
1684580,1,2.298334154913227
495254,1,2.164267943461557
3424467,1,3.030291886269676
348382,0,2.7560532276972354
2413945,1,1.249987227312054
1636538,0,2.056139529100851
3532772,1,2.962342379800096
3059332,0,2.5573592936019587
3115386,1,1.237406327519475
3742048,0,1.4211623717530233
2848010,0,2.5798544806267976
3413356,1,2.27066278338032
2690626,1,3.2771169911508466
203871,0,2.4552375470149173
2634272,1,1.2818701815466902
2460417,0,1.9241107557228236
2709256,1,2.2874189520625685
1373661,0,2.0345953945351716
2454574,1,2.525753634146426
3470125,1,2.0427104256700885
3845816,1,2.1741171489916895
3073699,1,1.7702171156475006
3257184,1,3.246951429916146
1620607,1,2.323050009797275
3176608,0,1.8650999156586763
831306,1,2.369907444806322
1114747,1,2.2981120855272663
2405072,1,3.012454920599569
3008766,1,2.4469852572455997
3026998,1,2.0910035435542103
1904631,1,2.6737271131507017
3774505,1,2.1429128350744286
2139186,0,2.3901064845284457
3413898,1,2.2506250660069917
2754894,0,2.0893363543685233
2029054,0,2.7483866503043175
1034858,1,2.242151699875132
1349237,1,1.7701861853519956
843065,1,2.337852722429432
3366066,1,2.30850938710209
1042442,0,2.702638931604924
3121476,0,2.164087517378908
3262209,1,2.1852101744227266
2849390,1,2.1294583248984096
1303621,0,1.8149408038154105
2589551,1,2.0115090003219076
1777943,1,2.641414242904199
3141328,1,2.702949220994075
1557505,0,1.7855603317420132
1766139,1,2.694391636501281
1419026,1,2.3525030125196045
261083,1,2.666874334017297
3877472,1,2.2516742222219337
2260668,1,2.9659862356480344
492416,0,1.8646617418356435
556136,0,2.563135577476048
333739,1,2.5909204914859916
1257666,0,1.83999957263223
609111,1,1.8993127103726644
444800,1,1.8556990952722137
418458,0,2.6848255175621523
1021251,1,2.3394902208585573
694320,0,2.430798356896215
1913571,0,1.7807418441393037
2938548,0,2.5995654530232413
2469822,0,1.5402521649828012
3205098,0,2.1735996298407874
400830,1,2.625206150205098
2884036,0,2.5007733926338678
3110558,1,2.8118135369434114
2727705,0,3.3470906002058456
3499601,0,3.5710046264315123
2194652,1,2.1292659227500823
3844308,0,2.582706254236245
1725953,1,2.0695890749325865
1703043,1,2.6665669791819107
215358,0,2.209315602617231
413145,0,2.7536720383399333
623683,1,2.0456875157194547
851766,1,2.3120258646658876
1298069,1,1.8936596270175672
849722,0,3.628338910665768
3330649,1,2.2446655362331445
3884502,1,2.721849133907836
520519,1,2.3446930616865753
333267,0,2.6837031413260446
2458125,1,1.6395482349657722
2235385,0,2.0395168199347746
296943,0,2.0269305017256163
2865172,1,1.6112221857956635
635102,1,3.0518249838334537
3540775,0,3.0229468197898326
1390438,0,3.035456081612802
720317,1,2.2732751453524873
748148,1,2.3974692323112317
2415580,1,2.3035756684997697
1857477,1,2.5109993690918406
3472324,0,1.5261891782403079
2707436,1,2.4479772392760477
2874008,0,2.0787341324920026
2057450,1,2.3197016001531274
983619,0,2.5839112695204265
2554676,0,2.1740063827919878
3286811,0,3.0845786644653277
1434622,1,2.0778910209260015
1023302,1,2.6262231354708843
3781154,0,2.418239267615938
895199,1,2.296544465789428
3121450,1,2.2946250952076808
2165108,1,1.982850922274715
1680308,0,2.6780682160995286
1050125,0,2.3417916951970854
3693945,1,2.4871891745874963
1472453,0,2.653798148744953
2453936,1,2.373505895588683
3169642,1,2.92779945792385
2277950,1,2.415652735943742
2486560,1,2.061812437876776
3873435,1,2.834323858368105
3490078,1,1.9141082526751136
2202144,0,2.185711833720516
1690684,1,3.094009149811055
2987854,1,2.3996008420390282
334739,1,1.781213693694234
3368178,0,2.1655715363856127
882914,1,2.7481008793266732
1327485,1,1.7946709888032522
2909792,0,3.173098280926967
805570,0,2.602958165135055
2943155,0,2.4903330752830812
642499,1,2.405986076975359
292678,0,2.237312364290003
726303,1,2.4317829150040646
1373263,1,3.089780998970474
726377,1,2.636484126436819
3158083,1,1.7720427521270097
3548311,0,2.073823778600673
2045316,0,2.8603948784966007
1702169,1,2.957817319309678
2425943,0,1.936847370787122
998696,0,2.5473136540245127
2595937,1,2.085045564352856
3096595,0,2.822056107576377
264583,1,2.2753091249248034
2139881,1,3.3191151482847805
2640634,1,2.570955268093015
3941799,1,1.7402336572154526
3309398,0,1.6180862480399447
1985510,1,1.6284051364064849
2834484,1,2.3086513412762883
1403506,0,2.2756991925342347
588093,0,2.1408325598512907
1422922,1,2.3456109932025475
1779307,1,2.2371182327117736
1903444,1,2.268633407627988
3342767,1,1.5481242243194653
2113329,1,2.5384580946468245
2926504,0,2.009868586225822
1326012,1,2.051043382538805
285532,1,2.277943390312157
2509918,0,2.507587154363291
2891878,1,2.4839782917855375
2270603,0,2.434083694325872
886958,1,2.8583634095011705
2022184,0,2.0757230684136365
3419678,1,2.507362833993736
2107450,1,2.04709009737684
1543660,0,1.2958963688643985
2631792,1,2.7763093342311733
2624456,0,2.299260515774759
274490,0,2.879283195278327
2223944,1,2.2730225820672523
2215722,0,2.113949497134745
2933581,0,2.2160194242324835
3806859,1,2.692873715240621
2851626,0,2.7072473710158356
1951453,1,2.9368845900384235
909543,1,1.9911516272866074
3424841,0,2.5177750262091685
3860606,1,2.1314520945435116
2154195,0,2.4471543257447523
1146818,0,3.873472245455738
1939503,0,3.0031018054278555
1674933,1,2.66668439809748
1665416,1,2.0869487795476207
571212,0,2.259981341921082
2852017,0,2.4685030936213748
3204007,0,1.9785963890566953
3461822,1,2.6269940126546953
2894297,1,2.109677205959635
1908675,0,2.264111726501068
3423642,0,1.5185066162041279
