sample_id,z,y
1988387,0,2.503356235666261
1592938,0,5.152913876454218
2188687,0,4.772663941278156
1541392,1,2.9538318092930225
3477784,1,25.510335630968882
2781003,1,3.4135155538791664
1528173,1,2.2992429429716483
659817,0,3.267124602699314
2166223,0,2.4785347406577887
3487566,0,2.662348776224773
3016376,0,3.2410243172769695
1461109,1,2.4410124328748797
536234,0,38.83784215422699
3226950,1,2.2333688734037724
1885467,0,37.023902833119976
743366,1,25.8927153614349
2824851,0,6.924279205643627
2679442,0,2.7533631254093685
2112352,1,3.768053373141251
331631,0,2.9849869089096828
963939,1,25.96953920440602
578644,1,2.0456383634586617
2761829,0,3.5960084180647276
2880387,0,2.5677696135615986
294596,1,1.3508454883754977
2401745,1,1.8445483957131263
3394585,1,1.724045414175885
2535516,1,1.6622391837377526
898920,0,4.6659135994528
3261217,0,5.631308913708214
1415097,1,2.7977354669201615
537512,1,1.960301490870682
290040,1,25.732081162562398
1048125,0,4.751130038911761
1592544,1,25.182114873781178
2589008,0,3.0687645217182187
245515,1,1.4460761436429208
3435971,1,24.707860907034576
2759798,1,24.83602888934532
2178353,1,1.6899710722763557
2253292,0,2.2927905198372565
1729232,0,3.7090311951155903
515124,0,1.631998841671041
2212482,1,2.4818966586336457
2051719,0,38.76037616865883
537759,0,4.619585797076556
3748908,1,25.468333718059906
2562673,0,3.1603409545766152
1395110,1,2.195949257007716
3051707,0,2.194323553908431
3360872,0,3.455593351543118
1559606,0,3.1778561336627416
1163392,0,2.4958771916357674
713241,1,1.8068684100167662
1631167,0,3.215968925692278
2256369,0,3.0142376279576206
2026253,0,2.9302872940470945
2264395,0,3.0730826989721987
2844984,0,38.37648282412863
2604245,0,3.591340487678853
3890726,1,2.0078577469306134
1527032,1,1.3617918371518212
1639743,0,38.992672219610434
3143122,0,4.472366138489749
469805,0,4.282568764834448
472272,0,2.6875083731110774
2833213,0,2.9650417519296903
3713631,1,2.6234445630361707
1261227,1,3.1542475466529045
2579566,0,2.416916226100961
416440,1,3.2586022992771966
1507020,0,38.57633876093013
3161463,0,3.6777395543681686
2481512,0,2.96996524283993
1717965,1,2.9540348447686253
3406947,1,2.9847109125472207
685865,0,3.9169188872069625
3761993,0,38.48420471166876
1911012,0,2.721718590280703
3533392,0,2.0067396679094918
409237,1,2.2753393502577555
754055,0,2.4904596234723377
1385211,0,2.4630643888280392
2028115,0,6.054233926854876
1662677,1,2.5643005591271995
2671713,0,4.529482615010566
258072,1,25.57256951971018
3938625,0,4.643622482650765
918250,0,2.915934951827331
1125634,1,2.008217727595746
2483532,0,3.090977484078087
3442241,1,25.50159824364797
2111460,1,1.7244040087509684
1072027,0,3.2815724328287716
2719851,0,3.0203287770579417
3804599,0,38.38033388622406
1079306,0,2.788482393903676
3167649,0,4.12991032992349
2575986,1,2.968608965974754
1645321,0,38.05245877895291
895199,1,1.5713898109288211
3064689,0,1.8826577029793659
832728,0,3.081220548109325
487347,1,1.9933411194983492
1833139,1,25.03204857561335
2883076,1,2.7330206674949276
332374,1,2.696465396756205
1014813,0,4.370841564994857
3517410,0,3.432968957533831
3376658,0,3.7966972718908227
2394805,0,3.509534527753702
862783,0,6.61082627159083
3285029,0,2.71551597058641
566200,1,2.376617297151863
2573815,1,2.4320470663993636
1859729,0,3.23108257811742
2719798,0,2.963105971620346
346126,1,1.6287218331081224
1864567,0,3.353314800249329
3280703,0,2.8083119812122246
629263,0,3.5737141092922218
1319480,0,4.043695806413487
1228014,0,3.0507338744820265
640610,0,3.582628834827599
291340,1,1.6464971740076384
3908945,1,1.295617122604265
3856737,1,2.2640188520965894
2167244,1,2.8934558887485093
