sample_id,z,y
675269,0,2.7634834416655383
2603058,0,3.919279500695042
3391444,1,2.160873747738806
3661033,1,2.102569900101402
2138869,1,2.7211730928615734
2785416,1,2.222233041572119
2113814,0,2.5028510056497324
3488945,1,1.5341497921749836
955189,1,2.019196799311043
3419263,0,1.7799557187683521
2010024,0,2.2910889030658996
616602,0,2.0660877953378396
745434,1,1.6734419833981626
931559,1,2.3156228265222167
1697872,0,1.2672820612747404
1955723,1,2.5786636909290834
1208844,1,2.8748166593979154
2915109,1,2.7067480286305874
3906686,0,1.6602496256282815
200563,1,2.698818174481362
1831639,1,2.952949764237175
3306044,0,2.4000675967554215
1646340,0,2.173055915773621
1128937,0,1.9715137721366554
664060,0,1.9569678849134728
271657,0,1.4106369852214957
2907638,1,2.0327641162070957
1542684,0,2.3019129151052096
832728,0,2.2974059772723203
3910608,1,2.118738011117293
1375775,0,2.3115796213721964
2462799,1,2.6611361998057914
558823,1,2.6503725917422916
966261,1,2.2288570925314897
224174,0,2.661767234719677
2472752,0,1.8591445361594428
3420483,0,1.890406270310722
1346230,0,2.343854529766003
2805159,1,1.9004942460683816
3847328,0,2.226440278825877
1702195,0,2.7938275058571937
533342,0,3.307111199287496
3139216,1,2.272947000618755
3313996,1,2.119834175949931
2916653,1,2.8606872635944702
382045,1,2.0234558803199474
1811557,0,1.357207068395403
2748416,1,3.0827623591476554
2003626,0,1.925613069575353
2660681,0,3.435852300230899
348003,1,1.9379098448517529
2651955,1,3.282046439633705
430889,1,2.9297025867572715
874664,0,1.6820669769591359
586147,1,2.7590461240627513
1454786,1,1.8387397102156782
3531913,1,1.7520227755881173
1410632,1,2.06993896299006
2689691,1,1.6994680379565001
3130140,1,2.7066622527018946
3339454,0,2.7760085599391053
2012418,0,2.17479790613977
3063776,0,2.644453095358233
1964824,1,2.2754415559064376
3206673,0,2.662770329689129
1053108,0,2.6693757604069495
1645808,0,3.18888661175074
2697259,0,2.336571294607787
2712907,0,1.6383136925108075
3277089,0,2.794140893852916
2811573,1,2.1103039547512394
2225487,0,1.8302689976999624
1475218,1,2.786234816653973
3770237,0,2.9507445396667302
634510,0,1.3296116946089178
1736995,1,1.8377186370704965
1867655,0,2.0200679310873797
227301,0,2.09524127432847
3541298,1,2.1375230949307604
1617772,1,2.004105487415047
1515422,1,2.440986316568406
1420411,0,3.5295846571217684
2784729,0,1.9566248932606987
3466091,1,2.713982259478091
3922093,1,1.987880555720021
2989996,0,2.3677983857946967
2182886,1,2.4103020873622447
2525453,1,1.6989503475618577
2665240,1,2.189516304792096
1866074,0,2.3562658491219395
2051686,0,1.9014348699476373
281897,0,2.387549646637191
529391,0,1.5147704694182742
485573,1,3.1140106165949453
1362819,1,1.9255116129962315
243761,0,3.149445937304605
1700199,1,2.2011117418513613
3130648,0,3.0218751081929245
1641902,0,3.225627797411124
646716,0,2.3713929716397555
2695007,0,2.266309552828536
619630,0,2.191221378208783
245689,1,2.439183056613297
3304632,0,2.9797130170911417
2149965,0,2.7999534636700307
2448417,0,3.6691572253985547
3530915,0,1.9484981842148517
2775335,1,1.7284288067480678
1960484,0,2.6942099768855545
3181606,1,2.9609889494069663
1099063,0,2.5830459178609484
364132,1,1.8922698499745003
2393175,1,2.629703982915437
3332713,1,3.3857896205002236
379219,1,2.3059784969246584
3362160,0,1.993553926054726
2853929,1,2.170750973881774
1075537,1,2.3269070493901935
2023207,1,3.3300832207122575
2499183,0,2.4223595952833987
2218774,0,2.124549260345631
1028017,0,2.5914560240618054
3403102,1,2.1619779204777134
219208,1,2.4503650746261236
511321,1,2.0040023408389005
2280339,1,1.8032808414681334
2909925,1,1.8894919809094983
464302,0,2.593096531800649
2412407,0,2.226391849290054
1621801,0,2.9407169019171677
3200315,1,1.481137403342931
512846,1,2.351724159511985
344960,0,2.7076738505458686
505008,0,2.2016773032389843
2442850,0,1.8374525828819321
2681464,0,2.1136086343284353
3078600,1,1.9254230115122597
2750130,0,1.981460765138109
3327861,0,1.9987688233395027
3100018,1,3.186419117589814
3231021,0,1.8092485299617118
3924722,1,1.3044901276447263
2414512,1,1.8668789820402272
3959028,1,2.6603578821079537
3304542,0,2.7405751719376723
239848,1,2.6412414948321477
1826189,1,1.9669611195002097
318389,1,2.724620504123067
855224,1,2.037339593252375
1774832,1,2.441717270807911
3491831,0,2.954167632964162
302485,1,1.3842374100672106
1326131,0,2.0348913086404217
2911037,1,1.959702270537652
1479992,0,1.7592957321897569
1070234,1,1.7081550910150942
1612646,0,1.8669765412695465
2461941,1,2.5115509803906058
520431,0,2.490306897580708
1742586,1,1.6495766616322205
3698442,0,1.7704253766904685
3107391,1,2.777541505869994
2171247,0,3.011139664789933
3696880,1,2.738778733888854
2659910,1,3.077489766553862
1783570,1,2.1026395446560024
473337,0,2.610384541476315
3483847,1,2.057890493923712
1240858,1,2.569024630840655
1089139,0,2.7662544002402005
2876261,0,1.730637996639985
3192415,1,2.9604083381624537
815077,0,1.8300097676735663
2646355,1,2.3721349056355194
2177268,0,1.987426047079924
1972342,1,2.1661734307999776
2454467,0,3.1146376531326445
2184599,1,1.9302510199816636
712916,1,2.3802799664280325
2412649,1,2.2121421161466657
3903105,1,2.0076979403765227
969870,1,2.090340266178198
1334362,0,3.210303688387376
3447921,0,2.4952303601753445
1919672,0,1.9557626536255281
254637,1,2.2162983871039548
1582843,1,2.584784230768675
1425338,0,1.790133039395217
1118262,0,2.6733929950805813
1937710,1,2.4468205760487467
1816276,1,2.566833095027843
2572047,1,2.586867416356669
378548,1,2.7838698172086627
1071893,0,1.5558208091420465
2460845,1,3.1248450466578443
1789650,1,1.6634834297589083
3882272,1,2.251320876604904
1485451,1,2.7029304658782722
1017308,1,1.8092459856094973
2853781,1,2.165829807374813
2400664,0,2.648378139272725
3312354,0,1.8031968507785734
824021,1,1.3695216236900623
1531006,0,2.2168861799456727
1213255,1,2.498260898871154
2626008,0,2.7786694665487945
2847370,1,2.0906556980404756
2893331,0,2.783676568579692
3809576,1,2.4284322101132796
2460699,0,2.1520784962715775
3095625,0,2.6820408073755324
2752570,1,2.2507386882194584
816583,1,2.4902148898090553
902495,1,2.1072413495542053
2749700,1,2.5375302895507654
1512993,1,2.161504711316035
3326479,1,2.015447028358315
1524501,1,2.257033640435066
3389294,0,3.162132518374224
3118201,0,3.8923166670491014
3225187,0,2.161938885371047
3935391,1,2.0960884101085187
1664419,0,1.6082595767765828
3016316,1,2.6791824839152447
1372811,0,1.9754530285715641
577857,1,1.7428228678379785
679501,0,1.9056464382441707
2023126,0,3.3125693494395567
386464,1,2.4505238967070047
