sample_id,z,y
2984582,0,-56414.742955042064
3015542,1,-56429.003757783285
2246359,1,-70685.87961635784
2060531,1,-60941.62577929187
3004895,1,-60941.730317322115
2513323,0,-60930.6593369021
962793,1,-48078.42345567303
3668617,0,-65682.18527249886
710322,0,-56417.99153939069
1423238,1,-44232.35533719586
3443309,1,-60941.69238078942
955438,1,-48078.814917825825
524490,0,-60930.92078239847
517668,0,-40586.453652656055
2659636,1,-60945.130499740066
2700595,0,-56418.10330206742
2553366,1,-48075.25035674517
733669,1,-56429.23979036052
1816516,1,-44232.387090005206
380408,1,-70689.28475141163
1707506,1,-33939.08648181949
2447335,0,-56417.736563610844
913085,1,-48078.85895366585
240348,1,-60945.2301596465
3262203,0,-60930.76540501714
2157413,0,-56418.159177292786
2393220,1,-60891.99310775364
3522448,0,-56361.55206412033
3961168,0,-56414.62183563427
1787234,1,-44229.017880607986
1758735,1,-75872.51360022255
1584136,0,-48067.768276919895
1106179,1,-948410.8692752846
344482,1,-65643.48968716944
3276738,1,-37168.15346294847
931119,0,-52131.33352973567
2979738,0,-40583.19002420708
1539764,1,-52142.085439813025
3661446,0,-52127.81640715557
1960399,1,-56430.0010513518
1451387,1,-56425.56377414018
2825924,1,-52138.718551521415
2225718,1,-60941.65376423951
446839,0,-52127.8053765532
752421,1,-60941.81633133662
578770,0,-56418.12414976492
370193,1,-48075.23675639143
1443571,1,-56341.59684262324
3675822,0,-60880.887403531604
1090932,0,-52130.24879215188
2475211,1,-56425.61675170718
1559560,0,-52127.82411897414
3329305,1,-48075.06078840691
2624729,0,-44221.48203541783
416883,0,-56418.13776127696
2504962,0,-52127.82505570766
2938693,1,-56425.55637451493
2936667,1,-75925.6001503695
2045309,1,-56425.588145112204
2390724,1,-48025.627602943016
1630305,1,-56425.405568552436
2798143,1,-75925.72771401399
3844947,1,-52138.689421911055
731752,1,-56425.729516398984
3257569,0,-52127.63590349192
1445811,1,-60944.9306314824
1100259,1,-48075.29817800346
1608233,1,-70689.4342672179
1256741,0,-48014.32014123798
2990163,1,-56429.091161878685
3150439,0,-18343.360608364343
1231602,1,-52085.59952677932
1553802,1,-93191.84008800548
1313233,0,-56361.3066506125
1382246,0,-56418.20582707182
1055226,1,-48078.529019432775
412961,0,-56414.48382276938
1213776,0,-56414.62865459111
1339760,0,-40586.478366264055
1192781,1,-33888.398020831184
2127587,1,-40597.79172010757
608313,0,-56418.21674017853
619279,0,-56414.720142925245
3733406,1,-56428.84064170673
3112802,0,-60930.81081592314
2971033,0,-22828.33732918509
1501306,1,-60941.58977174998
688902,0,-60930.64076026906
3675710,0,-56414.71452844404
1997621,0,-60934.27812826572
653547,1,-60945.38098218998
645743,0,-48067.493937898
1062962,0,-52127.75913492099
1204364,1,-60941.592371513376
827076,1,-52138.63799462272
3512297,0,-60930.57320515944
1403472,0,-56417.91657875077
1295328,0,-56361.279242367156
506946,1,-56425.585359895806
3098935,1,-60945.15950534147
431031,1,-65696.72365314701
1616436,0,-56417.910320092284
660107,1,-56429.315261705204
504334,1,-60945.51415827568
3109230,0,-48014.52766435824
2407540,1,-56432.397338910414
2222744,1,-60945.35639454973
2144841,0,-56361.35378466992
3333885,0,-48064.15372665942
2045037,0,-70674.80408509006
528471,0,-33923.81550497267
3724221,1,-65696.4292762736
2821492,0,-60930.5786534642
1499231,0,-56414.57134385497
2925758,0,-56414.685840982085
566174,1,-48078.806586417406
2978428,0,-52127.69328641181
1382004,1,-52138.9152293795
525963,0,-65601.49748466942
3838080,1,-52141.87312780305
3061096,0,-65685.36739685993
3508260,0,-56417.88195133078
2860292,1,-65696.8001261928
3171482,0,-28037.948579972428
825299,1,-56432.590380242684
