sample_id,z,y
1395599,1,-21.730926309268067
452783,1,-19.711323389626433
1873635,0,-28.93366785885025
490513,1,-18.371470547280115
209466,1,-22.549616654000957
3357343,0,-19.07177909533748
2285826,0,-90.87339618305879
1137023,1,-101.47915941087977
494058,1,-29.997506003853665
2215672,0,-28.561175959189146
1733902,1,-23.995021858596168
3390967,0,-91.26675749920012
3109250,0,-19.442575765216926
195040,1,-21.626403139842715
3123626,0,-18.414614208002224
3390126,1,-17.829764396149933
968519,1,-91.2965617411659
1533436,1,-18.431648372179875
3912874,1,-17.964603704997078
426530,1,-22.208307247838757
1371932,0,-31.245941142987252
457805,1,-20.665461002116515
2901762,1,-20.03074512011486
3522898,1,-21.442653680009478
1753152,1,-23.79164088623215
2556966,0,-91.40503806021624
2877941,0,-20.556025153241098
3877757,0,-19.94932465720957
3770594,0,-26.404702043305072
1283823,0,-30.550177786841477
3876045,1,-19.558881562389328
730363,0,-24.404371258650393
921522,1,-28.506309645652493
212335,1,-32.88928822856744
2465663,1,-22.32755431488285
1855211,1,-33.47675334939888
3189985,0,-31.504341601650548
2024461,0,-33.954546888784094
522079,0,-21.818287759197233
1367269,0,-18.690166655080727
554738,0,-17.782301794464868
2411113,0,-16.111799077639716
1417626,1,-20.705987191244695
3417642,1,-24.697299417263444
3941504,1,-20.48987526516891
1152062,0,-103.471493271672
2789172,1,-19.42550188969502
1687609,0,-21.671256543173893
3098392,1,-20.624717370873643
3099546,1,-25.313289798069928
2529781,0,-19.149242096924024
3345768,0,-16.19134140908213
379564,0,-16.59358691718927
2420098,1,-20.24197150009774
3425608,1,-25.95429847154175
822993,1,-91.24713801209504
1464764,0,-28.285463895453642
1134465,0,-29.020436433903736
3281769,1,-20.030977371746385
3789605,0,-25.85655307456605
1353600,0,-38.224179245387184
553785,0,-17.534544571757348
1633987,1,-19.36002098596404
1171593,0,-104.20090581963561
1406389,0,-20.639058113250996
242608,1,-89.98723204179865
1643905,1,-21.102757090924058
3352140,0,-19.096782451610714
1690961,0,-19.18366887929045
3801576,1,-21.090479179230318
2476628,1,-94.46352866184483
252385,1,-23.465210902116304
1060714,0,-30.979884254179495
1957178,1,-22.116725929097814
1159679,1,-33.81794609246873
368376,1,-28.903884214147304
202021,1,-94.10659374200833
563477,0,-19.397604858643447
2020712,1,-92.93485286504999
619926,0,-20.335738298014853
3735920,1,-19.763875031683853
3100094,1,-31.52596407055784
536854,1,-19.32967722532802
1142737,1,-33.70791302010317
2637806,1,-19.104351746130728
723418,0,-18.51160145071778
1748623,0,-20.18957531003277
1323118,1,-19.114810010452793
2795000,1,-16.408952464100032
2890021,1,-18.803317360077102
3905310,0,-22.378914065942336
3798199,1,-16.881423542731078
255396,0,-21.530538739056404
868253,1,-36.919423506752665
3019406,1,-22.43340213241782
1446257,1,-24.902551722239718
3685207,0,-18.65278766195453
2148094,1,-33.17188203474383
2488919,1,-23.134167378284854
1143592,0,-101.71691324495454
2412604,1,-18.313991503563503
2549726,1,-22.614018937454468
1193748,0,-25.657026704789175
1393553,1,-21.295122267796195
1692890,1,-24.591251715142704
1327324,0,-15.901917971844462
1471833,0,-16.67641766679434
1107911,0,-102.87181921609145
3789092,0,-32.32711407399027
3024631,1,-94.02351494797271
1614658,0,-20.599151865945334
476734,1,-21.824479056247288
2460845,1,-90.86082662531265
3509066,1,-21.940415464013224
3759572,1,-20.357289662812608
1204341,1,-22.5725054511065
3115160,0,-33.73247161543221
1715265,1,-22.05509004986126
1669332,1,-19.449654746832444
1528027,1,-21.803119116767952
623004,1,-18.78152194793352
2996650,1,-20.59156298935564
664240,1,-24.049594342835693
3474639,1,-17.226319593376765
2862970,1,-19.385144064666946
1493557,0,-90.82021929359844
2012584,0,-21.053415353322663
3691276,1,-18.214182517732684
2830506,0,-21.699800791954885
1377473,0,-18.451413224158628
1562119,0,-16.57255058267934
3441888,1,-22.709487944334867
3475399,1,-18.657329155904748
374824,1,-23.391733881045607
1254871,0,-93.11589172660143
389973,1,-25.56426347099163
3490763,1,-92.19078242252198
3228318,0,-17.52222020055261
660103,0,-23.493078726874483
3233549,1,-24.48589491363231
2109008,1,-92.94864433367502
537450,0,-20.48656774952498
1872357,1,-32.11188386982499
2737940,0,-90.45607179410457
2419115,1,-26.699172038728996
840996,1,-20.233472294476616
1727334,1,-19.71375323679677
3127224,0,-21.026225262835368
1238796,1,-20.395284151193344
2727532,1,-93.78508735786305
2862491,1,-20.154586092181237
675829,1,-23.608005511486972
2222459,1,-18.31896777532574
621682,0,-16.400039071675852
2193335,0,-21.82988529531741
1260292,0,-20.96232707647132
2751262,0,-22.90480449460737
1373340,1,-93.32639267988198
3147191,0,-17.095420793382722
2443433,1,-21.181446534015294
1953073,1,-91.76525849502977
3128664,1,-24.478906201615803
1076907,1,-32.632606388063266
2714128,0,-90.9104974406363
3748908,0,-93.6181449187807
1493910,0,-18.602565776342615
2133823,0,-92.69206832043128
2434869,1,-92.03475712216579
3215764,1,-38.354003512075174
2925307,0,-91.54867852807655
1245896,1,-20.261193538923234
1456690,0,-93.02191125893067
1951453,1,-19.44150897120472
3466909,0,-20.96671727817793
1195706,1,-18.13540253181333
2747989,1,-21.2174453615999
1827511,1,-31.917842519474178
2716561,0,-18.540015098784473
1972463,0,-15.755865700544934
1956706,1,-23.373756892506727
3720494,0,-24.810274109562016
498703,1,-21.01728405396067
1811007,0,-34.431374069584365
890484,1,-91.86762870455419
3656584,0,-18.078770724098145
870453,1,-21.243515027767533
1622445,0,-19.36068003937992
1218870,0,-19.832571211163856
2876187,0,-20.542365029863948
629532,1,-22.5614443673112
321376,0,-18.83596837394107
3387030,0,-90.49191820311333
1683509,1,-91.78391938485315
3851308,0,-22.607202681579654
1954388,1,-21.52428570863713
2907517,1,-20.249461477245177
1693216,1,-21.658602145472884
3668326,1,-22.07115420132041
2981009,0,-18.590552341388143
3346912,0,-35.09675569190942
2130797,1,-19.302872802765155
2224863,0,-18.260119205195963
864232,0,-21.090376196834832
2135330,1,-18.540332244031315
2824840,1,-28.867386111645438
2252456,1,-16.328742534174935
2172529,0,-20.94732826075
2877115,1,-20.591720693798035
3654449,0,-35.070086915617395
3463847,0,-18.421193583307055
1763585,0,-90.09657290636233
820074,1,-21.672666884086745
1062632,1,-30.517318438153637
3336135,1,-19.488383750636434
923853,1,-27.085778250217125
1025245,0,-92.78960667190208
2504804,0,-24.209820070085467
3071709,1,-93.85328827978586
3055263,1,-46.40019049894561
3906686,1,-23.552399401171677
3539294,0,-92.54481488809365
1769905,0,-21.83797867163008
3134112,1,-15.785930117546467
261350,1,-22.223244601334702
2602561,0,-18.532867618329156
3086417,0,-89.72971122903338
3802606,1,-17.88323853149935
3285968,1,-26.498846417946137
2144708,0,-20.872212693251154
370038,1,-27.018576599973564
3271236,0,-18.479454516587094
3791692,0,-23.77018539005406
2660681,1,-92.73293383281205
1960907,0,-18.70756817086231
2499402,0,-18.388363477173684
2279212,1,-19.773721010852334
1458705,0,-35.759375754214794
2271076,1,-24.87232525494443
2403873,1,-19.593723294735586
2867101,0,-20.379839502159356
900414,1,-33.68879308464147
1890302,0,-30.065560961136622
683664,0,-23.89834695624103
2244358,0,-20.53213252990304
209711,1,-21.99623816867766
2576444,0,-18.628432213824272
1020587,0,-23.31922896932907
963591,0,-21.94192454053692
1431636,1,-92.04970652502604
3800795,0,-93.63808468701662
472532,0,-20.386232529002708
3035413,1,-20.63317691849536
2015309,0,-19.455248605179285
1628333,0,-91.39398758983533
3389728,0,-90.6006562107603
433539,1,-19.844976948274216
817122,1,-19.767922652949736
3208804,0,-16.406825999204045
1022643,1,-92.46694445080776
2610342,1,-89.91734040707813
2247755,1,-24.734078160019113
2974117,1,-38.46256267926299
921841,1,-19.933194007043245
3767918,1,-32.5371639521774
1502906,1,-18.366227292237934
940944,0,-19.10891196003202
1456216,1,-20.6756561858911
2057416,0,-25.086135626232874
3955232,1,-18.04415440807882
2435280,1,-25.86141099178922
592831,1,-20.73897575802064
855287,0,-22.662275692005597
748321,0,-24.338581759302343
3447386,1,-19.813707249461473
553874,1,-22.20097431965042
985667,0,-16.86484945960221
2494629,0,-91.14084181359918
3712451,1,-19.45888390368032
641189,1,-34.437636668976545
2010255,0,-16.61394102334739
1247195,1,-14.861192186829772
1720545,1,-20.965007491056518
651407,1,-32.683704513572934
2889710,1,-24.025073726367836
3078555,0,-20.413584328922415
