sample_id,z,y
1606707,0,-1.1654528155346402
309671,1,-1.3889875596056527
2826469,0,-1.13960919044623
2703566,1,-1.43197422934291
3523146,0,-1.4899079496256513
1524993,1,-2.2115277995820444
3311857,0,-1.6191520199488683
335583,0,-1.6331622065992044
1237696,0,-1.547538488014226
588093,0,-1.653193585182866
1850872,1,-0.8272071613055854
704324,0,-1.102103791329957
3751667,1,-1.442495953006758
2019541,1,-1.1682066205869766
207378,0,-1.3717022590808137
3000419,0,-1.5007601479094985
2205238,1,-1.4810491070916216
1642297,0,-1.1695837160302593
3860543,0,-1.371243922675025
2110274,1,-1.852969192913337
2244349,1,-1.6748372902212414
1394404,1,-0.921812785850329
2524221,0,-1.326521056754257
1640006,0,-1.5299498375116731
509767,1,-1.397439525598056
421300,0,-1.078058360760458
1119668,0,-0.3656185142993473
3053380,1,-1.2338686286176745
705397,1,-1.3950959541310268
1446324,1,-0.9999903828599312
1408684,1,-1.1926729807353786
2593063,0,-1.4344868339054444
2210050,1,-1.401132843637541
1053844,0,-0.6104742504824585
1022087,1,-1.5572256450223456
3209176,1,-1.4322563486152118
1640025,1,-1.4912298537030817
2721556,1,-1.514760486862915
1497248,0,-0.6697162994835625
2116605,0,-1.2734343440344085
1446552,0,-0.9419467161726292
2983448,1,-0.8307886269426392
393433,1,-1.5295719829229402
2836055,1,-1.3723831135918363
1232203,0,-1.2685133901990473
1683697,0,-1.1622209316857663
3700319,0,-0.9921325699436118
3789811,0,-1.400597783242176
446612,0,-1.527392314915898
3212958,0,-1.0449934471446767
2155637,0,-0.9220313510703182
2468423,0,-1.648342034818875
2042031,1,-1.3635108142124135
2967489,1,-1.238638337690567
220277,0,-1.7033515581579568
281986,1,-1.6810904880937834
3225201,0,-1.0026861348461613
3383283,0,-1.2781871042203778
2837903,0,-1.1939674763724049
1760190,0,-1.1971213798064202
2788596,1,-1.6002122393422535
2992611,0,-1.4024755920089018
1942404,0,-1.3381254636040572
1810911,0,-0.3920657868284757
1138725,1,-0.6764005800295897
1020191,1,-0.9657054947509438
2484398,0,-0.9345636167733313
2594175,0,-1.8044179951184098
1354541,1,-1.3807586071252103
2631713,0,-1.750666257378901
432737,0,-0.8550762666844665
2279891,0,-1.369878983965819
3775136,1,-1.2602502816713914
421401,1,-1.3093269025290017
1574530,0,-1.053891913486455
2741596,1,-1.6882561040274384
1144254,1,-0.9384242326130268
987213,0,-1.2707558776135013
1051838,0,-0.487190889951963
331487,1,-1.2551725344431865
1433122,0,-0.8530070003335979
818580,0,-1.0875838084666125
3656529,0,-0.9572138652654651
1442855,1,-1.1072093716144145
1629160,1,-1.547781217199333
2238950,1,-1.3284332973491138
833962,1,-1.7442479494794285
1298844,1,-1.1277330471789082
245431,0,-1.2276951161701664
3879443,1,-1.5002436441858686
438740,1,-1.1986195065267948
1378036,0,-1.2621693753178582
1545489,0,-1.130888382314012
3520213,0,-0.9317839188328588
748295,1,-1.5103507094484172
944957,0,-1.214192707919155
2714621,1,-1.5002142898080786
3713465,0,-1.4675557293684123
1367247,1,-1.802349444777597
2058023,0,-1.3826929110946953
207749,1,-1.4572582136094059
