sample_id,z,y
3540970,1,-2.5472412127153063
2432540,1,-2.246828932209616
698112,0,-2.0160281087780194
968955,1,-2.7381940039740686
2052918,0,-2.461438928993963
1320167,1,-2.1583069761111044
1849536,1,-3.086445135287079
1828613,0,-3.1571699899603027
1023674,1,-1.496564154200024
646066,0,-2.7046418258094906
3785937,1,-2.4535372400065
1986094,0,-2.832979000854555
1685647,1,-2.470611724228663
1309864,1,-2.601865873737773
1300601,1,-2.1949833573625157
2063459,1,-3.070183095966057
3767940,1,-1.711781923491706
3906948,1,-1.8196555769826737
2012332,1,-2.3938869414498525
628337,0,-2.9862460734318534
469515,1,-2.0762663139963236
1717233,1,-2.6310635931337516
3499329,0,-1.905454154543838
2805070,1,-2.74614731860278
1075159,0,-2.193475737842071
994749,0,-2.4929268063381036
340489,1,-2.1525572437641998
1781351,1,-2.42836732337183
1374590,0,-2.943609035946305
2636073,1,-2.5589316850424106
1531977,0,-2.670624472007801
1815832,0,-2.2676979699197073
2165008,1,-2.658787269437569
3938751,0,-2.02174358919535
1563931,1,-2.5478210355712525
707067,1,-2.6183878992640564
2670736,1,-1.88323976615989
1678511,1,-2.0671157707371477
1034947,1,-2.690131590353135
2143914,0,-2.9761523303479227
1702692,1,-2.5308496098840743
3411668,0,-2.4240471796251564
2793338,0,-2.4304060272193087
2889236,1,-2.3186585354834413
1169536,1,-2.444558519448216
1483329,0,-2.6966700752171615
1847247,0,-2.864663135331064
2525829,1,-1.6106653552420136
1059855,0,-2.944408891300538
3058427,1,-2.241859384245302
3176267,0,-2.740130196721247
851979,0,-2.1828155106405047
970519,1,-2.0789370813049683
2443241,0,-2.6315248949024888
3661113,0,-2.5150155040296225
2866723,0,-2.5588724083150547
2713644,0,-2.3814639387319945
1264288,1,-1.695432090489839
3493570,0,-3.276639691306759
870083,0,-3.083489917477622
3508407,1,-2.4464905846006175
1242759,1,-2.2738018393936983
642499,0,-1.6695503055865084
1405915,1,-3.1299989819139755
3398571,0,-2.605719320775072
2941916,0,-2.377075152405559
404127,1,-2.5349448918421036
501560,1,-3.139957570813659
219318,0,-1.9438523342524867
609854,0,-2.0692902511294524
1756505,1,-1.3325979979219742
1121805,0,-2.6921510030274094
736595,0,-2.378210659025789
2708438,1,-2.5355461505063666
3374332,1,-2.225724654768129
3795710,0,-2.747934747679921
3098357,0,-2.2390522346496677
3099472,1,-2.2517525129950147
907574,1,-2.078755305323952
2978149,1,-1.7121494149039946
1761819,1,-2.3512563365395103
2945840,1,-1.7370185463046584
1943846,1,-2.752680920576987
2772462,1,-1.7531233337457193
1473393,1,-2.3020563814968162
1485164,0,-1.5965074079244645
2896610,1,-2.01327454494316
1882488,1,-2.3228401209504512
337088,1,-2.661765872110564
2018083,1,-1.5261246565838575
3773785,1,-2.8717612772465637
3071261,1,-2.409108748489995
310437,1,-2.554323725184093
3261729,1,-2.5228854633741307
515370,0,-2.376705251189521
3900843,0,-2.051306880214769
2019104,1,-2.489738274631304
1876814,1,-1.977206754832398
726154,0,-2.445641316562072
1347316,1,-1.7833841918716027
3327930,1,-2.3705125847380537
3790103,0,-2.2643554985807466
2963740,0,-2.170032082937039
1436085,1,-2.309105474758784
824511,1,-2.0837088322719026
2214639,0,-2.4183334360659137
1003677,0,-2.7441851969887288
1115546,0,-2.2990934756279215
2777827,0,-2.6205515714545555
3501216,1,-2.5759680993432603
1084737,1,-2.086817554635094
751586,0,-2.3008033213224035
2505686,1,-1.69016438648012
627764,0,-2.5514297984584657
3728576,0,-2.69971385256674
2611373,0,-2.567776253899411
3107764,1,-1.9702982981593917
1689292,1,-2.1953613177794966
2762468,1,-2.2471610084866307
429840,1,-2.6443687599645926
1639698,1,-2.14051542802319
1267009,1,-2.6123880621406212
2757668,0,-2.0860195588233434
3744328,1,-2.54033621034154
1528173,0,-2.3509034208186157
3887463,1,-2.340947815686392
3444012,0,-2.330662065889951
301411,1,-2.6730236963146026
544898,1,-2.285627082257659
3848102,1,-2.407961522447619
3707744,1,-2.142609485249174
3207445,1,-2.155947821854774
3285109,1,-2.793465020647737
1257115,0,-1.8844561046154797
346718,1,-2.471764598288403
2727157,0,-1.8835966269992692
2234611,1,-1.598793304858928
2876440,1,-2.312382267172044
615041,1,-2.339297371746161
3673620,1,-2.454241665780991
1776326,1,-2.2590845886949373
445272,1,-2.725972625759724
258606,0,-3.0070387928143276
1992438,0,-2.5897108118037204
2684203,0,-2.351510565212087
2116605,0,-2.477400528854479
1851662,1,-2.8285649196508267
2484492,1,-2.5089453791241407
3838112,0,-2.38640357002793
3093800,0,-2.162968092715984
907708,1,-2.020118826440294
1872353,1,-2.406658703952161
1110417,1,-2.064256072862341
487792,1,-1.7639996367925006
2823032,0,-2.197373610978472
1690561,1,-2.388483010766448
715903,1,-2.9266035443163982
1255449,1,-2.40172331928418
2593229,1,-2.874719116061736
1914860,1,-2.8908140206419923
2393220,0,-3.116096042642547
2825757,1,-1.3467287724689445
196121,0,-2.8657890306888367
975681,0,-3.3928743504417076
1872855,1,-2.1699047964771827
419235,1,-2.4771410792317816
3063260,1,-1.726506313947242
932836,1,-2.2307318959089915
1274455,1,-2.1870805366921706
1953390,1,-2.999044127375926
3897985,1,-2.346074747093326
671790,0,-2.978732799367715
2150328,0,-2.8358890958145646
646362,0,-2.5838898314783267
3907806,1,-2.0481796185858485
3307790,0,-2.181170581481992
3318698,1,-1.8561332489620086
3360500,1,-2.5134545698802877
1561267,1,-2.1731025820328433
521298,0,-3.352414097014349
3914417,1,-2.049696107195374
1036523,0,-2.205329693338935
3680461,0,-2.1006496668073975
2964101,0,-2.2629092098182366
1459036,1,-2.437086838394562
3372481,1,-1.866324317953769
1007129,0,-2.8787197088744505
3515303,1,-2.749566359229805
2930771,0,-2.2035830163068364
1770595,1,-2.3008188537622467
743866,1,-2.288608956259262
2198464,1,-2.3111200198551014
3938634,1,-3.4562767348854155
3717958,1,-2.460234652200494
1245912,1,-2.3367244800183657
3018369,0,-3.0496065566256005
1589959,1,-1.3069271201211534
444343,1,-2.6595530228565467
3136932,0,-3.476504289230615
319769,1,-2.288406500902926
1073133,1,-1.9167899219064028
374667,1,-2.042041453824507
3687647,0,-2.7570362797489354
2981543,1,-2.175704764770571
3113699,1,-1.0716183866586442
619099,0,-2.5013094222477408
2648251,1,-1.694812296264957
2643630,0,-2.671186544347009
1331125,1,-2.0694546033586745
3078824,1,-2.9944381188647258
3314733,0,-2.2119924680855467
2660452,0,-2.3960107686979755
3424378,0,-2.526690465267891
1345309,1,-2.9351755995233235
1667317,0,-3.2636757849495717
1484261,0,-2.645989149887818
1103359,1,-2.4901810756370177
3280370,1,-1.8890386622599256
418725,1,-2.542231196866909
1983732,0,-3.294390225969767
3805902,0,-3.20169484932292
382270,1,-2.5612901920856057
2539662,1,-2.336503204553641
3494430,1,-2.5724351806060946
478816,1,-2.5423259389280353
2636496,1,-2.872302868243672
3111256,0,-2.4740874405694173
3149992,1,-2.104879086329688
1910076,0,-2.180181827828304
2619373,1,-1.9537054241650353
3299882,1,-2.5351356980880446
981736,0,-1.992200619441361
2792919,0,-2.694473347791875
1317584,1,-3.258578707649228
1458937,1,-2.806150249678422
1755375,0,-2.3334933621343388
3271012,1,-1.762320578802476
289133,1,-2.983934348544912
1563828,1,-2.5238203012896783
2019912,0,-2.2206430405827176
3269726,1,-2.5274211726246922
1220262,1,-2.3550871793950066
316619,1,-2.3425453509588903
1669343,1,-2.157425365108128
695302,1,-2.8819566149237645
1283130,0,-2.4032177784995974
2658723,0,-2.3860631338056875
2985387,1,-2.4363076292599137
3293175,1,-1.9523594078303403
2042707,0,-1.7863025231252827
1122107,1,-2.5816158575214763
3664424,0,-1.8574803461373874
1691848,1,-2.664637443238691
1298336,0,-1.962665028975908
2240439,1,-2.301389671369465
2533669,1,-2.028815717406063
920256,1,-1.6224485646064106
2925984,0,-2.4621599652993664
2114339,0,-2.9113883837059062
3329862,0,-2.2844445020626263
2497151,1,-2.643145695525477
962654,0,-2.1925483951283007
2701806,0,-2.070548027617375
2600039,0,-2.260873438394085
1528221,0,-2.4468776469944347
1991804,1,-3.1768474692085866
2419829,0,-2.64734442601638
1542402,1,-2.375143781301192
3763436,1,-2.3043177410468827
3758865,1,-2.596085256937103
2027818,0,-3.0165463883380683
3273626,1,-2.242509329188535
1867260,1,-2.0246259860760096
850546,0,-2.351286172584468
627952,0,-2.405202588702355
2872536,0,-2.6047698687099277
3897004,1,-1.5571661946707416
2655219,1,-2.3040169248273763
1909929,0,-2.498139230404631
2888470,1,-1.6293515863603827
2402777,1,-2.2158158026686054
1017716,0,-2.768526819767356
3009196,0,-2.7144491592251767
1706370,0,-3.8315534849314643
947594,0,-1.6469953463394216
1975264,0,-3.2223137191386413
2878934,1,-2.4487995352627054
2248466,0,-2.677627327062139
3122136,0,-2.664141297430279
2582650,1,-3.2998960198361
2254992,1,-2.8162662418338438
1518993,0,-1.676373836061646
1523004,1,-2.6151766980436006
3782921,1,-2.35132207446015
992030,0,-2.219095017270548
2581827,1,-2.2750231189815917
2193254,0,-3.131328242311608
2908652,1,-2.7170835756691525
2461662,0,-2.199838388662158
3334008,1,-2.8489372463417335
2773193,0,-2.38284445470116
3007505,1,-2.1682725001732295
1118296,1,-1.8166765423285722
1489765,0,-2.1762445057553874
3924583,1,-2.2647374122125203
1482349,1,-2.14562894593222
2838867,1,-2.2258181555161465
1979808,0,-2.717231259946333
3412940,1,-1.8218469191152182
2012404,1,-2.5364546735684224
406331,1,-2.274810803763391
3075159,1,-1.997117136236381
2785766,1,-2.2092895153698215
3488818,0,-2.762415570787379
3775503,1,-2.6388992646290643
222249,1,-2.007488933011878
619667,0,-2.07955509300535
2993871,1,-1.3800690694169389
3018173,1,-3.19548673024463
3311107,1,-2.6177265137702252
1581973,1,-1.980778762664739
2041040,0,-2.5745918093545703
2512774,0,-2.922336982879234
1934095,0,-2.7219785069977895
3928606,0,-3.8814693488101115
2604914,0,-2.2206961497552498
1807831,0,-3.331045667232364
299409,0,-2.7304585783703823
3702383,1,-2.243573429758061
2567350,0,-2.683093073348295
3220017,1,-2.211461533591732
3850512,1,-2.7234261133765703
2115551,0,-2.7789533609119714
2185689,1,-1.5346915584968563
3375335,1,-2.664006630995468
1997083,1,-1.6270762944969426
2485117,0,-2.6030343607918915
2467527,1,-1.8938799530573762
994038,0,-2.9219936486414424
3094118,0,-2.7007846157822093
2247805,0,-3.227759392281044
3374437,1,-2.273389202479819
