sample_id,z,y
1818375,1,-1.7064535696688334
3847858,0,-1.086464753238181
1699470,1,-1.0277415029855685
2797678,0,-1.3708234871992326
3946309,1,-1.4556547300197105
211558,0,-1.569046074287479
574975,0,-1.969064018555516
2996767,1,-1.8933836743158146
3352476,0,-1.8047535800474377
3707313,0,-1.511701483803499
1701003,1,-1.6047516507202484
459847,1,-1.929702835115039
1032238,0,-1.6426409413433123
428292,0,-1.9879666232058943
1500608,1,-2.147058619066282
1538774,1,-0.7851115071382552
2746766,0,-1.732204392898754
2642604,0,-1.1215952607700634
359965,1,-2.797538455980626
934714,0,-1.579507890451411
2114127,0,-1.1260331319371173
1568596,0,-1.320160103493734
2170086,0,-1.4457500947408615
3327316,1,-0.9385455646428178
3018355,0,-1.136090565628767
2480572,1,-1.3724778901182417
3883382,1,-1.926625507339161
1585299,1,-0.9577224352295148
860591,0,-1.1701461284179229
3861325,1,-1.1345159769258497
1225811,1,-1.6928803944159982
1292460,0,-2.225096031286551
240306,0,-1.793057774713401
2522864,1,-1.8838408212246318
3741740,0,-1.3424986997980681
687857,0,-1.1118079739174418
1039221,0,-2.496096209900473
1202183,0,-2.21723980076864
335685,1,-1.274900032829993
3539877,0,-1.1353913255665102
195500,1,-1.761161503264624
670571,0,-0.926164030204399
2243737,1,-1.526176033370098
1607403,0,-2.5966396205612057
2687015,1,-1.0485627088488307
1370480,0,-0.4351548205618989
3846558,0,-1.7324596760261302
571119,0,-2.1559968894373367
1092886,1,-1.2688918363266362
2001521,0,-1.2553048098818782
2543277,0,-1.6183810383134285
3220628,0,-1.4024618428888893
488425,1,-2.092105282315616
3355129,0,-1.7343542328092174
819515,0,-1.7447726633320917
364958,1,-1.8893488355229147
1559555,1,-1.4777346037512797
1726916,0,-2.0341923223078275
1126246,1,-1.61447387954557
3376498,1,-0.569646251268157
3411478,0,-1.6880848908934982
1497758,0,-0.86053168305096
2790871,0,-1.589766583603142
2963900,0,-1.4755209114382213
3669181,1,-1.750350672335489
1492692,0,-1.5805098264342625
3159971,1,-1.3960578214775414
1158329,0,-2.2957295616700155
599799,1,-1.7070853140103224
1727959,1,-0.38569478142550406
3137756,0,-1.5047156660115273
1962379,1,-0.5473723384583117
859139,1,-1.6231532348777318
1408196,1,-1.4400274975844565
3246241,0,-1.111876295718591
3332392,0,-1.5357470511988782
1137194,0,-0.6587337362526074
620700,0,-1.5188724799450661
1229754,1,-1.7848578275281304
1075295,1,-1.6485801352123675
3050803,1,-2.0604330800984583
1762216,0,-0.9004932611542783
2159434,1,-1.3120284707011645
530385,0,-1.9738849165618668
402845,0,-1.5560588127708297
2586653,1,-1.0813385747161781
318093,0,-1.948514270661754
3683039,1,-1.6915582702689853
3886655,1,-1.34576318920772
