sample_id,z,y
1887209,0,-2.66314699918914
1004111,0,-2.120883290230252
2167484,0,-2.706611840746273
1735602,0,-2.304010201345647
3021018,0,-2.910446873273602
907540,0,-1.6438839677793808
1009932,1,-3.4256888635226894
387665,0,-0.9981021851058591
527300,1,-3.0376819643182222
657336,0,-4.208856117742944
2874416,0,-2.89927698469215
1984339,0,-2.4992427744210577
458463,0,-2.652090026768957
2177198,1,-2.899766199606475
2203287,0,-2.4018879322963307
3178937,1,-1.340731124447295
3661873,0,-2.352183749330884
492950,0,-2.3212372600359705
2557260,0,-2.550442649076454
2700252,0,-2.4985120180383866
2639610,1,-5.300467284935123
3347481,1,-5.002479476806999
1073496,0,-2.9954462147178247
3276738,1,-3.3792721499101672
202388,0,-2.4347603653869236
521626,1,-1.1688614869676957
3952442,0,-2.1758692463021316
2194144,0,-2.88147352363153
2007628,1,-5.413494824240003
1334127,1,-2.9920590048768143
1979159,0,-2.1686462192849114
1594862,0,-2.409977727260058
2411175,0,-2.23353026575121
3263906,0,-1.9753057147779594
3469685,0,-3.179016741740274
1635003,1,-3.165234974765103
2881730,0,-2.9166144776680802
1405443,0,-2.6092430283559227
720004,1,-2.5844605198644945
319769,1,-4.079810519696866
340892,0,-2.410616883104721
3454950,0,-2.665357928428921
2193839,0,-2.4137366312462687
1624477,1,-4.193381854348762
802416,0,-1.310853577147702
1823236,0,-2.4525989226151905
720782,0,-2.6392098008675893
541727,0,-2.358221784703334
606009,0,-1.2343608972766593
3261637,0,-2.211933996022205
395512,1,-2.9218991747509526
3530332,0,-2.7552524159325857
2410598,0,-2.532248472665196
397099,0,-2.218536976880907
603748,1,-1.3131925903291268
1900686,0,-1.7347198094801382
3228113,0,-2.6036531984551585
1199995,0,-2.8562121845961848
2647280,0,-1.3264281795236426
2124901,0,-3.216387038499269
2499494,1,-3.179352019504245
3849080,0,-5.713365095588772
3243139,0,-2.329403119538307
3092685,0,-2.15742910354225
2648679,0,-2.430830589039989
2867712,0,-1.686439128545978
2680195,0,-2.7062977200452965
903975,1,-4.605539681643618
2632326,0,-3.3659020458856657
3742549,1,-3.0817710556068088
868761,0,-2.334687614955052
3757367,0,-0.9689043932318404
1149278,1,-1.4808098975778807
2561928,1,-3.3315610089093624
1708615,1,-2.6978958278088427
3130121,0,-3.3211686044809303
3450368,1,-1.1419357204724385
1942878,1,-4.275367082493118
411703,0,-3.0719442349845765
3226018,1,-1.542660943661858
999492,1,-2.8256765952676517
2198457,0,-2.7721660977788964
2801373,0,-3.272959881695063
574540,0,-2.4622519889847836
2717134,0,-2.824978612021232
2837714,1,-4.878646894562844
1481142,0,-1.172559492496098
231045,1,-2.834376387954536
279381,0,-1.9858583400149823
2133034,1,-3.001374014561209
1290058,0,-1.3133021538335736
282312,0,-2.4713941818422205
3689535,0,-1.142515001941589
3959661,1,-2.4456227935060597
569437,0,-3.0506309615139746
2542282,0,-2.442752510469447
593824,0,-2.436939902790061
3725293,1,-2.3136821002962025
2708650,1,-2.3878715448831955
2796044,0,-2.7000428343776455
235351,1,-2.7804094718731007
3056090,0,-3.023174460254352
1731584,0,-2.5091327968164503
3786477,1,-1.2192213356313113
1352667,1,-8.489968247567841
1120269,0,-3.734295003885225
1958586,0,-2.7638395106043103
969757,0,-2.544904359619354
311520,0,-2.947067175573269
1491119,0,-2.562549570376157
536234,0,-1.342218254968838
3071384,1,-4.346447074279965
3898809,0,-2.4304458500486272
2630844,1,-2.6772028330635878
3409214,0,-3.3147366804033696
3196133,1,-3.0008523749940994
1644256,0,-2.770803267321013
3484651,0,-2.846311836366937
2128340,0,-2.7082751409015886
1767190,0,-2.6355204401897034
1688063,0,-2.463623790662675
270272,1,-3.21515893126478
1415491,0,-3.09025659219298
1681727,0,-2.5524623664233195
2710400,1,-1.305429124212651
1830273,0,-2.5210406112251076
336193,0,-3.028420042906243
2510854,1,-2.892451330795281
2262272,0,-2.718834771461207
291881,0,-3.4630581667979765
616720,0,-2.9433475138072835
445890,0,-2.8454125421990812
2063144,0,-2.109700484276506
2522532,0,-5.124615331939598
2526555,0,-2.2157520758708076
1540925,1,-2.3052318519267367
3064049,1,-3.2634695094317663
3932414,0,-2.8568589033847087
1897870,1,-3.7009969105203124
2607985,0,-2.2514302170319582
1508523,1,-0.9323299342011325
3026603,0,-2.6043930234578943
2652366,0,-1.2276622840286655
3741284,0,-2.1656210092657617
905759,0,-2.5659017761415974
2405618,0,-3.383672436898109
940565,1,-7.517842270483552
2717601,1,-3.6519866691162894
1895082,0,-1.0666293017283957
614494,1,-2.6280179843462173
2203158,0,-1.354067180287953
1014282,0,-2.9629767997546184
940582,0,-3.0279369739600623
2972402,0,-2.3007912020515033
805441,0,-2.190557321181953
3838080,0,-2.7799077748832675
3147154,0,-2.322655471089027
847190,0,-2.033624836645107
202922,0,-2.544007740430725
1609435,1,-1.1046584039190463
2919202,0,-2.556936220655303
2240553,1,-3.5682395811083305
2186072,0,-2.7533890749877727
1743536,0,-2.7850496004377963
1893304,1,-2.1830653225552537
699658,0,-2.6679511862983354
3474391,0,-2.5093611093020125
2577173,0,-1.1558081299434244
418337,1,-3.379668804000474
1223643,1,-2.9298205555288903
272659,0,-2.3620051624923413
1911035,0,-2.021828897031711
3090349,1,-1.1727015822213445
586140,0,-1.7345333758381831
1551681,1,-3.1523513373384007
547979,0,-2.3962261848232456
533680,1,-2.6999420803913456
2213327,0,-2.3883437563009045
