sample_id,z,y
3393445,1,-2.5953011767512715
1898212,0,-2.9074320057768577
3670792,1,-2.813417028764483
1698687,1,-1.5271007894248847
1092141,0,-2.459263863456222
3253094,0,-2.316427167061076
3685161,1,-2.782999247684316
1470207,0,-2.9152851832175406
1755829,0,-2.6663872530504333
208927,1,-2.9254039387705526
2133924,0,-2.742730681602087
3316883,1,-2.7297217261007853
2392816,1,-2.4406376989368
3932372,1,-2.565274519062721
632491,0,-2.599797989249827
1491021,0,-2.6704232049515477
1408379,0,-2.371038523712308
321730,1,-2.772343027897926
3328637,0,-2.4778558382601377
2187461,0,-2.5528472067151857
2811122,1,-2.4343059886885405
2111594,0,-2.515827178350853
1728340,0,-2.93937580091255
2932004,1,-2.540055013269973
2592460,0,-2.6422803707981544
450269,1,-2.7050523509830136
264249,0,-2.4941190473562043
3413356,1,-2.245169676872052
2688347,1,-2.5511841925354113
1677428,0,-1.9854314824917554
2014615,0,-1.490206686895406
3737690,0,-1.5845269568666462
2210994,0,-2.607999551961004
394029,1,-2.5815660612454896
1475303,0,-2.8398475060486215
1453909,0,-2.8369169950309354
3743418,1,-2.6318774466373416
3255758,1,-2.4595597370742093
1086387,1,-3.401045318561121
2980720,1,-2.8190404895212953
1914956,1,-2.843378222312194
416236,0,-2.845010900724587
1696234,0,-2.4559283855137153
1281620,1,-3.1907851830036984
3488589,1,-2.670461914621044
2935804,0,-2.50015457979469
3888945,1,-2.578752622797701
1519072,0,-2.6659385161444455
1858651,1,-2.5557569223616032
3448641,0,-2.737549323844905
1386072,1,-2.620538725113964
2674740,1,-2.715587342474484
195837,0,-3.0684429395470127
1602057,0,-2.6778895195708117
586472,1,-2.6481573606593716
2106741,0,-1.71951083366494
1512642,0,-3.064743926279546
214324,0,-3.0312392962654466
2167459,0,-2.1234332073380973
2711791,1,-2.389647369836983
2634343,1,-2.5104915389831013
421143,0,-2.920424269393875
1587533,1,-2.206691600281849
3779691,1,-2.747685093898565
1703608,0,-2.3614106133115063
495490,0,-2.4826083247989366
1080658,0,-2.868926031133749
1138262,0,-2.7188011561616623
3853790,0,-3.1289180618873274
2415400,0,-2.4876147336668715
541879,0,-3.023136130549178
1957563,1,-2.5972840130286974
1597511,1,-2.832599948529824
2403257,1,-2.7192873110448805
2904045,1,-2.3874441778008038
1111289,0,-2.639371448816262
