sample_id,z,y
2218814,1,-1.3132355454190026
3352204,0,-1.604728008928563
1811258,1,-1.5196745452037683
3955073,1,-1.1800179206209156
2565311,0,-1.8050543236039893
2133737,1,-1.2964247027154125
3261327,1,-1.3971068167785894
540347,0,-1.589881788637611
3297333,1,-1.3251866047011636
3158284,0,-1.6466068334911304
2628817,0,-1.722763408377717
2835264,1,-1.1948586023604102
2479914,0,-1.9115367232049467
2663176,1,-1.3738952839038174
1389702,0,-1.509109957569633
1565675,1,-0.9531956471531413
2151851,0,-1.7238054665755014
2462799,0,-1.4969293687118579
3729370,1,-1.2480499841959867
3722279,0,-1.5445087020476385
2593530,1,-1.4968693692457644
661048,1,-1.2161921071719761
1464292,0,-1.3116162780943117
1635191,0,-1.5826765673811796
2125962,0,-1.5246381459728036
2805992,0,-1.4619489167609792
2774011,0,-1.414140596039459
403472,1,-1.1815616565422418
2556126,0,-1.5455023496502776
2195797,0,-1.3329533964033802
1758486,1,-1.374772704450255
1617976,0,-1.7359820392212653
2607247,1,-1.3190554035063753
1686938,0,-1.3225193705107363
961129,1,-1.4405817351921264
1552822,1,-1.0697904835867689
3162006,1,-1.3678244171612999
2477729,1,-1.161973749914663
1198503,1,-1.2054612791326973
3685305,1,-1.2844434714772006
2483237,1,-1.2339763658720166
3461378,0,-1.5796936493934481
2607724,1,-1.643127417593131
839488,1,-1.1005200451552475
3046576,1,-1.19935926478707
3479793,1,-1.4001347300636744
1337497,1,-1.3314513045470682
1210282,0,-1.453047913921162
2970713,0,-1.6876455624097901
1793476,0,-1.2527862773275509
1948976,0,-1.600086226137667
887970,0,-1.662301232584124
1292782,1,-1.3505782672403546
1131849,0,-1.4192387244458635
3923143,0,-1.6488748633676282
2691190,0,-2.0167087746980115
924697,0,-1.8272190242950557
3377122,0,-1.8343043345356327
1741710,0,-1.6601282919367677
3781467,0,-1.5273133777106584
555211,1,-1.5017216263520616
2016520,1,-1.3312134195385288
2705129,0,-1.6789479644691243
916695,1,-1.1167284793502747
1382769,0,-1.5103734649265388
409127,1,-1.0772274959280426
1037435,0,-1.7282331570518525
345676,1,-1.099305956343519
459631,0,-1.6161601721956638
1097975,1,-1.503140726413355
2505919,0,-1.4803604030688722
3375147,0,-1.6705224214622232
1025571,0,-1.4630582862198842
