sample_id,z,y
841247,1,-66.38185699906883
2639968,1,-65.3848724832857
245996,1,-102.19002841811113
1123271,0,-74.30059276209258
1211754,1,-105.03241477441894
2732835,1,-85.28430469091246
1453172,0,-81.71066791363856
829054,1,-85.0783758617219
1427431,0,-93.57460874171528
217514,1,-101.18684460147702
2543021,0,-93.40361956592272
2600901,0,-103.15714069219098
722121,0,-75.42582560713376
3474712,1,-85.73770693800338
564873,1,-101.77799958447622
2902832,0,-93.36550047944141
1686869,0,-63.7156678527665
1679755,0,-83.49287452083233
3297602,1,-89.45756921396935
2825388,0,-77.29664404737267
1709436,1,-200.01530116387323
3258777,1,-84.69031624343039
1729028,1,-88.20553381918398
2621474,1,-108.21449279825414
1062071,0,-74.71732110100471
2478799,1,-101.48373582135766
546879,1,-85.64442716768755
1215596,1,-89.55254437843806
2744105,0,-76.789079363923
2714654,0,-58.196102662253544
2645204,0,-77.59179766552877
456385,1,-101.5699186392183
3422209,0,-71.39709737912376
1714785,1,-12336.078800276866
558549,1,-85.63299851018164
259504,1,-101.56942512039195
546626,1,-101.40779679637279
712760,0,-77.28153184524888
2570660,1,-85.14738920431476
666779,0,-116.82947179102182
3932170,0,-78.4068408991021
3665819,0,-76.61078321153931
3905578,1,-89.25811488708517
3323939,1,-102.39007648817231
2465049,0,-76.85659290863785
2862966,1,-88.71868493184381
2846066,1,-100.8627380049934
212863,1,-100.56727637025745
347619,1,-85.42665008083593
3234556,1,-104.8219622582445
1394980,0,-93.14595281548279
1609435,0,-76.93067365969276
713457,1,-105.35441162869645
384950,0,-77.12875895401673
470032,1,-102.30621486842638
361294,0,-77.96803946382073
1882567,1,-97.57120453129878
733830,1,-97.46172584440964
265006,1,-214.1747437919044
1246935,1,-68.89098609139626
806073,1,-101.06272741048119
2785297,1,-88.6562173448527
1764634,1,-97.05583644077393
3539294,0,-77.67444407260255
715683,1,-101.72398200663557
1387030,1,-2.0097298871375338
335798,0,-77.28141578556375
3161877,1,-89.08741056013463
594479,0,-77.9950032080566
861725,1,-85.8736729902345
2201304,1,-89.36207682954525
1636108,0,-87.90135715290415
1234386,0,-76.75191585455786
1530700,0,-77.8488070232091
3665913,0,-90.42625162732298
2913031,1,-101.48820752264025
527807,1,-213.5822522327762
2738501,0,-41.45776573120664
1338541,1,-85.82588624006475
1643090,1,-105.29189570204946
2692532,1,-100.94050710988438
2007828,0,-76.96260777191874
3326987,0,-77.63062993965198
1131278,1,-197.47565602512282
3495710,1,-177.84739342391532
1577186,1,-124.33441543667533
2853139,0,-58.26547306031791
3661130,1,-84.82541490979624
1098423,0,-73.76607257816725
364781,1,-101.77929379523266
2012067,1,-88.90759759575637
686619,0,-12229.282404711632
2637230,0,-70.4551192218023
1446114,1,-101.07381777135869
2642128,0,-77.26148556197177
2676701,1,-51.09845125306623
1341108,0,-77.71752286739843
1352512,0,-78.35552142888395
2551227,0,-5.366873563225592
880611,0,-57.96925663598984
749742,1,-85.07949373421188
1744212,0,-76.60842250163215
3007184,0,-77.27270875719377
1760100,1,-52.877335063909115
397665,0,-77.46605238180155
821068,0,-79.77489546852776
2623710,0,-24.82151132687882
2025083,0,-55.8535412513216
1860026,1,-82.00088879319232
2849192,1,-88.94105686878045
2130457,1,-101.23390144075667
1641751,0,-81.10474873596858
1152787,0,-73.72153570690715
2528762,1,-89.28038625181762
2536335,1,-48.9352053915635
581348,0,-76.8399256124111
1816209,0,-73.40535301299329
1307294,1,-85.10579998049914
2595761,0,-94.68874201818132
878578,0,-18.78824233970151
220450,0,-76.56961139480987
347268,1,-88.96595499847714
892898,1,-88.78018320070471
2680824,1,-197.18746485440593
2597703,1,-85.66865117251704
1577016,0,-74.67001434959113
3043603,1,-89.76619271414306
1990252,0,-76.75926721863287
1627668,1,-111.24174542324286
591565,1,-84.56226492164745
1502906,0,-77.72282760442373
3851964,1,-85.43240155400069
942358,1,-85.6378180315333
464066,0,-77.0202541748262
940944,1,-85.4560409651244
2828587,1,-89.07976431648488
1031355,1,-89.40367316544052
2662081,0,-76.83684096968862
1163501,0,-54.80432457806013
3288207,1,-89.38777414804485
1958457,0,-84.39041718698665
3518584,0,-77.80631815941463
3192113,0,-78.03204009004124
1063669,0,-74.13010197367944
1569883,1,-88.80387807463205
725920,1,-85.0573210241843
3467195,0,-76.99006281822173
2910877,1,-101.6752180595189
2019452,1,-48.734392152941844
3911823,1,-84.57324283104597
1911025,1,-98.06326702490138
3032404,1,-10.817714787126944
2926150,1,-65.43505721500946
438337,0,-76.56951269816807
1823818,0,-73.75585543586756
931496,1,-84.8666406085848
645808,1,-85.4326778815281
1367824,1,-101.41871288485257
710969,1,-85.88717933211247
445652,1,-105.07716277144367
395247,1,-101.79376224071191
3488229,0,-115.87908456845697
3771279,0,-81.80528559390837
3383465,0,-77.08483502316318
1428169,1,-85.30217046774858
666050,1,-105.73502352832747
3869372,0,-77.69497340741066
1314621,1,-85.84414495297769
635471,0,-87.93321672614388
255690,1,-85.2985252915834
1619946,0,-77.32484730737347
962163,1,-85.4711883468664
1768084,0,-71.96831726059862
3916146,1,-85.4735128332582
240238,1,-105.86512121092227
2032024,1,-101.4914825363641
2278505,0,-80.98467994688498
3687776,0,-57.504583751526305
3006094,0,-120.5506039671154
1710486,1,-223.570209457797
2807196,0,-94.18627720927304
2206319,1,-48.56457312591059
2846554,1,-100.78130759109389
2808592,1,-88.7844514295935
3046885,1,-100.70324372308357
2004694,1,-89.51505517269064
2479900,1,-85.50037590329828
1232512,1,-100.80611721050667
2589967,1,-85.07579279988472
570282,1,-84.8763110273318
1353755,1,-85.21774292924572
2648679,0,-77.61706207213766
2222581,1,-101.5353227213974
1478726,1,-66.07225299713764
3885484,0,-77.31848445000475
2916331,1,-97.87869133443202
3385278,1,-101.5023493408918
1624295,0,-77.25888310971806
452772,1,-85.70624748262033
1739381,0,-81.13089210293836
843314,1,-101.28296505223989
3707757,0,-76.75765421125631
533892,0,-71.50874425864633
2117533,0,-57.76634397078557
3207815,0,-76.70829639016365
1813105,0,-96.23285085996618
2117567,1,-85.33763557903245
2947807,0,-94.20375793957584
2976996,1,-66.00847968022181
1090322,1,-101.20916564832164
1431523,1,-89.31097836515173
2797871,1,-88.80448154551294
914996,1,-101.66861141703075
1251015,0,-78.00671794725618
1967700,1,-111.3970830629956
2888463,0,-81.40054300355806
840527,0,-77.1904580522838
3280337,0,-94.27716207399386
2120525,0,-76.79716042697717
463388,1,-101.43254985579914
3929483,1,-66.04676552238881
1237925,1,-85.2758394332952
561884,1,-85.56248171495172
1630243,0,-99.05849127189599
1822449,1,-98.02846446234949
2131945,1,-85.76206165656181
1165680,0,-22.885470851333793
3123448,1,-101.58639165261391
2729920,1,-107.55365399407745
3176859,1,-101.53388686207214
