sample_id,z,y
2544404,1,-3.2867021585066216
2701322,1,-2.8505598895043143
3875516,1,-3.433393813197207
2284791,0,-6.836563986844187
2187102,0,-5.57387858349577
1354854,1,-3.522279151102326
1280737,0,-5.401114956834433
3099435,0,-3.183521275956668
2802620,0,-8.669654026091248
2696084,0,-5.373539942854558
3871027,0,-6.307494220866161
272698,1,-3.046802749535564
3338800,1,-3.183756438981207
1879999,1,-2.9669278008100424
2624850,0,-4.569000689291166
3307717,1,-3.1755042094881007
425122,0,-4.3980649421826135
559536,0,-4.9775698656538925
3894830,0,-4.822756984035602
1684510,0,-3.9352744290406565
538160,1,-3.275806521336312
3351106,0,-3.7245347782682066
532156,1,-2.964022543523407
1208844,0,-3.306392418301854
1782148,0,-3.9936644572887645
3327926,0,-4.780947712134711
3531710,0,-4.130223865874789
2973094,0,-3.957030401782041
3250546,0,-5.616420895642347
2565560,0,-3.403726035677341
3255030,0,-6.672986643477915
585723,0,-5.757976381129328
1975097,0,-2.12470486147964
1582368,0,-5.227853257668068
323280,0,-4.57372554811201
1551946,0,-2.9051121878594426
3922410,0,-4.25787277330109
344100,1,-3.421976204451288
393638,1,-3.3379778750123275
2869807,0,-4.505544882549047
2523784,0,-3.186478110727373
2703174,1,-3.196466391631732
3440818,0,-7.330905387869114
1152848,1,-3.0773965652292854
969757,0,-4.872518107974602
1575235,0,-6.4806659928623835
325067,0,-5.308290159187169
1906217,0,-3.048382636257545
3332408,0,-3.698242960234908
1465824,1,-3.0998829828561623
2848270,1,-3.5391496902846704
2611247,0,-4.95663646652455
3059329,0,-5.710703353755684
1032848,0,-4.952868021120871
1856317,0,-5.562499667023691
2803044,0,-5.731832908252803
3084953,0,-4.0384931597399065
3070187,0,-5.957289608168804
1031748,0,-5.426052247955268
1315300,0,-5.720135082719606
1437889,0,-5.072413459567368
912657,0,-4.843681588092771
3472563,0,-3.050840833660794
880653,0,-2.9935915329007576
3419431,0,-3.739866545144177
1787904,0,-5.105358619892517
3664758,0,-4.507997030620182
3802191,1,-3.375355988789686
3240194,1,-3.5994828757905286
1397747,1,-3.0468855377184774
2035286,0,-6.209815053700726
837720,0,-1.6845489732663954
3360625,1,-3.3579655077653854
3105899,0,-2.9098689345294466
1622772,1,-3.7138783600151593
1960826,0,-3.458376173122805
2907473,0,-4.877888682449146
816068,0,-3.875388144077047
1436676,0,-6.26174342488607
3926171,0,-4.012751397781878
1157363,0,-5.936814262743559
3229960,0,-7.62910204299124
3113341,0,-5.9080587983381365
1283265,0,-4.723834917547826
340086,0,-2.1523971013401835
2981474,0,-5.475203581094724
2270365,1,-3.557217033415132
957629,0,-3.5353127190319507
1746405,1,-3.1995303858116104
308727,1,-4.649656803036899
451319,0,-5.540804953619961
1281116,0,-2.817957272205478
1314824,0,-5.904469090945275
517248,0,-5.012170015042985
2907368,0,-4.215306439423232
1291334,0,-6.131229015218022
1505772,1,-2.9650668128999635
3412504,0,-3.2121501461379305
831183,0,-6.053965025312931
937178,0,-5.478616968027131
1821814,1,-3.740399071452576
1507953,0,-5.027564298550774
3289583,1,-2.9022119699290045
3308445,0,-4.070881618465888
2596438,0,-3.484761492581288
524191,0,-4.877492548637689
3511944,1,-3.159786446794277
460812,1,-2.7635134461922806
1859444,0,-7.871374056056053
3538643,0,-4.743264482294705
408998,1,-3.2413379143172816
2107051,0,-7.435362253080593
1239322,0,-4.481809899862598
1472640,0,-7.193737602222425
2121811,0,-5.56282754130316
492486,0,-4.409283047631342
1867410,0,-3.409165801611033
2803734,1,-4.0230577539667935
302631,1,-3.041116147934118
3738230,1,-2.839213227890859
3919411,1,-4.776802880764421
1350824,0,-3.191720193613259
1385893,0,-6.9765317964120035
3773064,0,-5.34809788311394
310199,1,-3.1569905436371117
2861270,0,-4.522400911484484
3752458,1,-3.172327704078194
221834,1,-3.501976995072012
2774545,0,-4.716891949738901
2984489,0,-3.058246117870411
598454,0,-3.584414013653281
1832389,0,-4.530364098649053
3679167,0,-3.3493354248289378
946280,1,-2.8009210306451924
1262489,0,-5.625438839136211
3948743,1,-2.895320927310785
1294293,0,-5.817700801691451
3284598,1,-3.349037704478219
1148471,0,-2.4498988542809697
3226950,1,-3.3399302568435556
2275627,0,-3.43601163092245
340583,0,-4.521433729241616
3153068,1,-3.436138173283082
3487089,0,-6.478699768660176
1351469,0,-3.8750521204676867
225917,1,-3.170268946190735
312103,0,-5.021647172944684
3100963,0,-2.93584706996776
3280513,0,-4.609207658331732
1644819,1,-3.7016968485459816
2741116,0,-1.9809168585838837
2038735,1,-3.3644589405512004
3405588,0,-5.678401702752033
1746233,1,-3.092035530097853
3924907,0,-4.846441696523109
571756,0,-5.113775002113282
