sample_id,z,y
2792426,0,-4.350116374672139
275657,0,-3.8299999389078097
548344,0,-3.8969855849296446
3127092,0,-3.842662109943984
2634202,0,-2.771855848468558
3489184,1,-4.455749147883894
3294064,1,-4.896289788721885
1620067,0,-3.727415049728162
471505,1,-4.056737205207487
3700503,0,-5.415112421030088
2578357,0,-3.3976269216518746
1028116,0,-4.193601462376905
3684940,1,-3.0542224941571585
1718397,1,-4.51167464188808
2210989,0,-3.9572427200056537
449732,0,-6.101950002649014
1752019,1,-3.4994933075368486
3083108,0,-5.590264390106715
476194,0,-4.817378602364818
1355015,0,-6.29594560605679
2458560,1,-3.4417108751271774
1362862,0,-4.851531684041521
1283000,0,-3.6063572938556794
3005865,0,-4.121322971807613
1276564,0,-2.9279022755717827
1986676,0,-3.3909649396985144
439172,0,-8.877361622994334
3139014,1,-4.9404856012215665
1964930,0,-4.151682083681792
3905698,0,-3.0094677996869605
3398321,0,-4.214310422882785
1897559,0,-2.7097047931973797
1506942,0,-4.19474355998169
370722,0,-3.8195043224752774
3934130,1,-4.59390893592829
3307853,1,-5.487047767510416
1007192,0,-2.604249734855299
195040,1,-3.810636510912132
671957,0,-2.9011540883339366
2997344,1,-3.7619660945829527
1437818,1,-3.1050880717916125
2454902,0,-4.651721433793227
589264,0,-2.8288305541540315
2555277,0,-4.285474134990548
588318,0,-3.851114961641645
3382321,0,-3.307249553149006
2163268,0,-2.7906334957028154
1512304,0,-7.35283864599076
1637151,0,-3.7739304416793598
1081199,0,-1.0332787650753155
2531603,0,-4.151754253470587
3914975,0,-6.306029685341732
3164140,0,-3.57134414229276
887007,1,-3.4444796235685566
2027261,1,-3.204633485305655
864290,1,-4.060897697463773
2038949,0,-4.4842623388772855
2125816,1,-3.078203893031179
422202,0,-3.453670535007856
3951618,1,-3.490750061646676
1794158,0,-4.626316252615986
2985409,1,-4.02577164618702
1961731,0,-5.368455070369737
2838398,0,-3.8771767778814437
2190793,0,-4.672944386481555
3398656,0,-3.615756035780107
3170204,0,-3.4748187839419304
2773708,1,-1.1215705033609806
331200,1,-3.0647960811275325
3269146,1,-3.9589976831054727
3372467,0,-4.019309119931506
2749280,1,-5.059194122922417
3873606,0,-4.678156181691082
3726701,1,-3.699609149569293
2470310,0,-1.0014775364523874
3437306,1,-4.490610696535779
1569450,0,-5.283350498933054
1863646,0,-2.975821944686442
1858487,0,-3.970267798793441
3667571,1,-3.040658963008466
2124605,0,-3.626763693933334
845130,1,-3.962709967459609
1034310,0,-4.2091656387986145
2782029,0,-6.895348290053097
741703,0,-5.149799915643347
248512,1,-4.259648315080641
3891451,0,-4.91836158424324
3159519,0,-4.129634993436811
3278163,0,-6.683038673123471
2557779,0,-7.475398132993303
3190540,1,-4.021015769540054
1762940,1,-5.912285260941186
1736008,0,-4.240370420539861
2054230,0,-5.665605227980682
495799,1,-3.7675966930468467
509767,1,-4.092879233961744
1404546,1,-4.837814947842783
1007477,0,-4.396980176911213
686227,1,-3.2820887907013283
2008289,1,-0.805262548156685
745640,0,-3.824946370348695
3890260,0,-6.457782468407758
3486928,1,-3.04324585124648
1735905,0,-4.564740905857094
2820617,0,-3.727879224771158
3366419,1,-3.3266344412842668
3066547,0,-1.3853463276068525
1517633,0,-4.066747651440448
2251848,0,-3.7106430568219944
2621622,1,-6.178057311356391
