sample_id,z,y
1830297,1,-3.4674332501717418
3469053,0,-5.791095312432374
3847890,0,-5.716060532687526
3528409,0,-5.8554659373113065
2879802,1,-3.573401609147874
906634,1,-3.438513475546259
2550347,0,-5.479481360970745
2573940,0,-5.389654686863678
1236881,0,-5.2339032334689515
1610986,1,-3.567033649374805
2513525,1,-3.2806936562024913
3678890,0,-5.625994470965201
2947744,1,-3.3843487573457898
1249982,1,-3.3855692813340457
2276890,1,-2.976065114266668
879740,0,-5.62625997408884
1777658,1,-3.495675865213737
2228631,1,-3.2904211930765586
807595,0,-5.60753264561045
1321996,1,-2.986142180475296
1948062,1,-3.062919713855931
1326452,1,-3.4591765811463513
1235048,1,-3.1144309409740387
629689,1,-3.379545361147103
3044403,1,-3.5368053834763473
2632620,1,-3.448704961901488
3479028,0,-5.053160951163823
827925,1,-2.9968020601511816
3193327,1,-2.844926884192349
1867589,0,-5.700213574185986
1956018,0,-5.908565508983819
1672964,1,-3.2025025461878958
1792036,0,-5.753393405717546
2283516,1,-3.6319425801109086
1594944,1,-3.337700313581357
2136713,0,-5.449624614847702
2481059,0,-5.485650307108684
554720,0,-5.091756698458748
552163,1,-3.6970690067657888
851536,1,-3.2039546108745824
2693363,1,-3.020780667276396
3309244,1,-2.8288466889842887
2232074,1,-3.065953857424681
2158029,0,-5.737769289656308
726700,1,-3.020631664017707
2565390,0,-5.719755097998919
1446960,1,-3.921835265347758
1143247,1,-3.3803764688289855
2398668,0,-5.40678821807
2795907,0,-5.755174136384191
2871896,1,-2.7289609739201675
2934756,0,-5.166035993920079
3239991,1,-2.786334971288355
1112522,1,-3.2441165086534824
2162801,0,-6.1243335765061016
314551,1,-3.4349586153216176
3403678,1,-3.421052918791406
3479310,1,-3.442452696367422
2211806,1,-3.6429111699811823
3268550,1,-3.7073623362796972
693189,1,-2.9772183703912254
3133941,0,-6.121062242569463
259677,1,-3.4383602425973905
3462880,1,-3.4113253236839247
1328791,1,-3.2254603247114084
3282068,1,-3.3370270021937314
2995592,1,-3.822521915003767
2878400,1,-3.5362632592179706
3762145,1,-3.5421105149765864
1014221,1,-3.205267821902418
2273460,1,-3.3723351523421825
1485862,0,-6.056214049530113
2525152,0,-5.777901562650013
3837559,0,-5.7452151936940865
1320616,1,-2.787448329117132
1528543,1,-3.5761934891822964
381388,1,-2.901456286194089
3162876,1,-3.610061034210096
367550,1,-3.518179667652072
2256156,0,-5.750464413262352
2038949,1,-2.908404472468775
2534430,1,-3.309046101749185
1588523,1,-3.2212151687682096
1304069,1,-3.3488155818162806
3394435,1,-3.096355618322684
534877,0,-5.490593534627808
3141953,0,-5.668741916849101
1030279,1,-3.7619630942245843
3101908,1,-3.4648202805975017
2445799,1,-3.2131650455488674
549847,1,-3.20433406155839
3115067,1,-4.231295573173845
3240405,0,-6.052663324461793
3797335,1,-3.1320502860353727
1409884,1,-3.3969975227525326
2226687,1,-3.566427115758316
691839,0,-5.343915071418705
2759495,0,-6.059807442635622
534090,1,-2.987058964348972
2657711,0,-6.052479022243224
1495557,1,-2.750339635765945
314293,0,-5.971393011433061
1708366,1,-3.5298695274001126
554140,1,-3.3353019741940586
2948988,0,-5.714545979948012
607014,1,-3.7582252861616228
1435108,1,-3.219185125261112
1392963,1,-3.6281154925940586
494053,1,-3.5041695346018917
2417940,1,-3.390893357065292
1885682,1,-3.2358715045719446
508203,1,-3.496297768628661
817704,0,-6.181465661909943
582907,1,-3.6607200964366453
2129024,0,-5.665094665908574
2018109,0,-5.616144416566825
1420946,0,-5.79266616551827
1901442,1,-3.237688770229903
3895409,1,-3.274092523793329
3413114,0,-5.356187420073287
2981538,1,-3.276370921546547
1162555,0,-5.738328265064434
1196219,0,-5.594684199205017
1144967,1,-3.817306486747718
2110935,1,-3.2720497647729583
3099786,1,-3.565119183419744
2472711,1,-3.266027624365215
2047536,1,-3.149463317779474
3193931,1,-3.252165098124915
752633,0,-5.664686335338294
2489944,1,-3.5682757460468153
918865,1,-3.542123011317472
680742,1,-3.559583315215357
3296295,1,-3.402986767542249
448158,1,-3.2450235118541575
1911939,1,-2.4934346137513805
3020112,1,-3.377774622564336
2501840,1,-3.0039816986042127
865850,1,-3.1712328650485606
297542,1,-3.5356667791462852
2226353,1,-3.3433475205287047
3880376,0,-5.389315192490697
3904568,0,-5.686868785235476
1522214,1,-3.4271750497645845
1108857,1,-3.254369091001692
2832160,1,-3.3639958025364356
2408489,1,-3.852739925720962
2688347,1,-3.360245519108593
199687,1,-2.960842632943662
579354,0,-5.633734891612371
1136184,1,-3.1721714811430535
2608162,1,-2.7909884374161518
1828636,1,-3.79876736172599
914435,1,-3.521614515260529
963924,0,-5.96226321581936
1597199,0,-5.577987523787162
3319232,1,-3.5112031672023956
1764259,1,-3.5722563949916255
1014209,0,-5.482108646747577
240928,1,-3.3080524556543107
2804674,1,-3.1951655380326622
1632643,1,-3.730765046760516
2911037,1,-3.4458125095222947
2589850,1,-3.2936964029462277
2500789,1,-3.57682079875059
309523,1,-3.370495973004833
1282435,0,-4.910624335638737
3917222,0,-5.783045339808488
1530206,1,-3.2571407057275206
1663030,1,-3.045403044839068
1025231,1,-3.5141756962214754
1536866,0,-6.01500236783204
1558548,1,-3.3910321435140025
3953829,1,-3.325420352939989
2857513,1,-3.5568615283087794
3874356,1,-3.4737250152994794
2179827,1,-3.487182167647322
2934769,0,-6.149275902568145
209902,1,-3.671607433300178
654502,1,-3.5624012250851984
3046756,1,-3.554018135122141
359303,0,-5.76441347613218
452644,0,-5.5906820543572895
711330,1,-3.457365516351421
3507037,1,-3.397945598184277
277829,0,-5.446849589017755
3202555,1,-3.530289761773957
3229652,0,-5.935503444195397
451458,0,-5.849568896633993
1626764,0,-5.30838230123644
2545956,0,-5.604983927896624
3919101,0,-5.416307827888748
3011812,0,-6.04136715006819
1434409,1,-3.1852225841961386
1570525,1,-3.5129530487554232
3456983,1,-3.2660905942628125
2829308,1,-2.712459582720794
449360,1,-3.379704002977744
3436207,0,-5.756609662802974
1368070,0,-5.512508390632342
2391264,1,-3.3180801836231084
2902084,1,-3.387314303015311
918821,1,-3.4216803443210346
2815629,1,-3.38916943837697
1584318,0,-5.6170502384070184
1266186,0,-6.14070537186223
604065,1,-3.74964344714533
961776,1,-2.7533101969793754
1590741,0,-5.297280506214498
2226478,1,-3.564678985713887
473343,0,-5.739827740345566
2230799,0,-4.937909143832509
1568972,1,-2.9670353417619264
3160124,1,-3.509575907181007
3250842,1,-3.2953500452299838
2783445,1,-3.220356254308098
335658,1,-3.599303557442399
319729,1,-3.266679127151474
1344797,1,-3.4427681817042157
3538083,0,-5.644915146298197
3431601,0,-5.819655189208491
268899,0,-5.788396081102661
1105827,1,-2.985885369982214
833343,1,-3.0399998265088306
1848219,0,-5.589422229288292
3149039,1,-3.4541797775995775
2989765,1,-3.289787993344249
2235726,1,-3.3938123465679273
2504947,1,-3.6780153913430076
3514338,1,-3.3842540282163425
1395411,1,-3.506382073006532
1857970,1,-3.4484845100572867
2543781,1,-3.2195574301955316
3653387,0,-5.450344104574699
1965447,0,-5.85667110038306
3054684,1,-3.188524518930457
1934095,0,-5.849868040637761
2492138,1,-3.1845190307777607
344796,1,-3.948509188942064
3254374,0,-5.238187442564103
2709994,0,-5.745668456422362
471937,0,-5.892438972787298
3436436,0,-5.253794643329763
1135695,0,-5.39269365755069
3711533,1,-3.2265322125843876
3458858,0,-5.626664799146126
3668110,0,-6.133989072530534
1114651,1,-3.7458601695765474
2544754,0,-5.918209803539776
723127,0,-4.867089873485486
1617874,0,-5.803766392222792
