sample_id,z,y
1829145,0,-6.2591939541608355
1261949,1,-3.818491783907745
510115,1,-3.2567613987810526
3671705,0,-6.342254522953821
1088389,1,-3.225575570309493
885772,1,-3.0838756498380264
2898468,1,-3.4509031518263953
1411274,0,-5.659665480660696
1307906,1,-3.2595867065923634
1577003,1,-3.5532977919344986
3504274,1,-3.233084021070364
2884489,1,-3.062805348448276
1817667,0,-6.0500264279898675
1332597,1,-3.314546785528329
2691493,1,-3.7919426083223224
1481142,1,-3.273974076751487
889950,1,-3.5262809135957522
1267512,0,-5.946626063982928
3285220,1,-3.662855649235226
3182567,1,-3.190732381008642
3437339,0,-6.106857764602025
2842720,1,-3.2697684738388753
2786342,0,-5.5363759529472105
2261636,0,-5.838082071628293
3798496,1,-3.26856727051192
837138,1,-3.9888818342930588
1621130,1,-3.3238751891068574
2443140,0,-5.3622573747261715
1268864,0,-5.682073024034117
2616481,0,-4.770034320722424
3104164,1,-3.0331203264439415
2274849,0,-6.237580339815036
1891942,1,-2.173411447887347
1357390,0,-5.876977094499441
1311401,1,-3.0117861129114263
3244884,1,-3.0075237854496373
3845419,1,-3.544062877272759
2749495,0,-6.19789053410888
2578108,1,-3.2110178073673596
1706411,1,-3.845244397719471
2817744,1,-3.183001180565626
1751816,0,-6.143875674104383
703348,1,-4.00089498152695
2206116,1,-3.279914918416522
2463032,1,-3.34502449759575
2833684,1,-3.927389924392908
809479,1,-3.3838929967456113
227967,1,-3.4432915985621375
3695244,1,-3.43823056944349
3269146,1,-3.4875975885897645
945290,0,-6.053951354873751
994103,1,-3.451409903363469
529917,0,-5.150222618953431
3277964,0,-5.077215544314827
2600154,0,-6.204835754830006
2877515,1,-3.748782957715841
1788931,1,-3.4279107092662158
472153,0,-5.2546759783685575
333712,1,-2.850006180293364
1274868,0,-5.229516735825251
2982220,0,-6.350822175254793
2737705,1,-3.5308000159976163
2738651,1,-2.929681810406687
3862089,1,-3.770619290161072
1242688,1,-2.9816989725136414
3771367,0,-6.111767438853319
1676586,1,-3.751806641790359
987898,1,-3.75138266845332
629565,0,-5.689122557402082
3144968,1,-3.239098439739741
572180,1,-3.3177074863607112
2266323,1,-3.4027999724715867
821847,1,-3.591819375872433
3046797,1,-3.833790566348665
3751227,1,-3.665795468437269
2277024,0,-6.448279136015934
3914531,1,-3.2135793168220266
1196024,0,-6.318659267926116
2880514,0,-6.0177920252222
1215717,1,-3.3643142885076984
463432,1,-3.2046637202808688
3047610,1,-3.1459531596784043
805743,1,-3.737107526951862
3051558,1,-3.6909932617758265
2196852,1,-2.731093401089862
220996,1,-3.2928166292011127
3385740,0,-6.557148786299603
2179183,1,-3.3610493525010408
1728599,0,-5.716261020971413
2971893,1,-3.5259890397597746
2484111,0,-6.29251496283928
475040,0,-6.231681307822077
3241882,0,-5.90068055968649
1145055,1,-3.0684599267884836
1700906,1,-3.7971839453487193
2882929,1,-3.6364299218640763
3340122,1,-3.464136121554264
2141520,0,-5.98701524241319
2781205,1,-3.439848279522059
754494,1,-3.7275872539730543
560899,1,-3.7893486227143605
2549649,1,-3.011398543882567
525760,1,-3.3863262564957304
1073044,0,-5.599875162230793
1086917,1,-3.245194451456546
499154,1,-3.3650450117237396
1194778,0,-6.0167012332765815
2852223,1,-3.258182300965677
3865598,1,-3.853431465880646
392626,0,-5.2554597412059305
1345814,1,-3.48021804288293
3276132,1,-3.4524814933738366
3959347,1,-3.3242969219141747
1160865,1,-3.968317575581227
3918303,1,-3.6939548895867063
1502248,1,-3.433861740145745
2204051,0,-6.235014887318597
2670298,0,-5.963639443328415
854292,1,-3.3732501950108826
1634770,1,-3.6971068911689944
2638485,0,-6.2657423029306285
202322,1,-3.3684592467191647
2927496,0,-6.510975124478046
3858488,1,-3.1941451775189305
2827848,1,-3.638814673939308
3333571,0,-5.344531267694412
2857235,0,-6.201874799567598
1679173,0,-6.419569320547151
1588737,0,-6.239903224470961
1834615,1,-3.4477360613373103
3518806,0,-5.5970542843500475
2945068,0,-5.900603928622144
2416606,1,-3.6159425210130567
3363345,0,-6.189291583079308
1735663,1,-2.914007173251127
3653865,1,-3.242559711177834
1571456,0,-6.5854781710771935
3281564,0,-5.334806336714474
2835800,1,-3.9175370720744715
3887734,1,-3.4362065590781206
352769,1,-3.572629924502861
3339474,0,-5.818341891062121
1319861,1,-3.522474576879869
2715523,1,-3.7172121736127997
2816524,0,-6.271715063929946
2120008,0,-5.275039128793742
2831520,0,-6.237711035832024
