sample_id,z,y
1093159,1,-2.998861549007649
2008685,0,-1.338707408012183
3185797,0,-0.6784516354430503
2148206,0,-0.9862123647558021
1159478,0,-2.7205083565334385
3220053,1,-1.6137847824428033
1469062,1,-1.6262002508611046
3486979,0,-1.2757430467152056
3317918,1,-1.0838417400457265
417152,0,-1.1853054347976255
3399813,0,-1.6873618423503027
1268385,0,-1.4624092576687597
1636066,0,-1.9999177393250966
3677299,0,-1.87820204106947
3190395,1,-1.2353215241337754
3248619,1,-1.5508879942150986
3732007,0,-1.5502571327744712
407669,0,-1.7463933593615892
2495477,0,-1.1576215414800617
421758,0,-1.3685953209591701
574065,0,-2.026201919206436
3670866,1,-2.874267394758853
3224143,0,-1.525567052863155
440434,0,-1.7869813232676501
750946,0,-1.7971844161850754
3771235,0,-1.602261572890803
3035413,0,-1.6264299784212022
2521316,0,-2.230640056361642
2610321,0,-1.2114043000549584
616315,0,-1.3786020440279951
3699700,1,-2.583962935738131
3431585,0,-1.1262285402412364
3948754,0,-1.1474277853285573
2273359,0,-1.7719361215962004
2545418,0,-1.1956046261866702
2671969,0,-1.3292066882417974
1958334,1,-1.0808568292844756
3866026,0,-1.894342880957663
3832957,0,-1.9306183324454982
3031493,0,-1.3943664376550096
1507550,0,-1.5833519741491318
2632677,1,-1.5921326934747604
1978057,0,-1.3436296018948135
274890,0,-1.788183728252658
1662023,0,-2.112726215305953
3421288,0,-1.4214538489917814
2172512,1,-1.4453304068337867
1986751,0,-2.1147729837705276
615411,1,-1.2334457457296697
1618641,0,-1.9510290226598026
2402604,0,-1.5330995074427134
2121620,0,-1.310332517567016
1348973,0,-1.3557675303589618
1550228,0,-0.7879133409508036
3910567,0,-1.508304854507366
1323087,1,-2.549343214635015
635287,0,-1.9349108039125618
1057296,0,-1.87643928843035
1457059,0,-1.0643925338483677
459090,0,-1.9099597500931587
994775,0,-0.7170571272023586
3132352,1,-2.6674523604474367
2673813,0,-2.095585777753866
379219,1,-1.9941022929323957
754088,1,-1.740524305275991
2721531,0,-1.3074045966598622
1071786,0,-2.834248193658919
202922,0,-2.6534004321983247
835622,0,-0.5067603312593502
3849875,0,-1.145711122319193
2836868,1,-1.744991638898615
1624826,1,-3.3235994161541815
302010,0,-1.194851881750056
3679632,0,-1.5209593572703388
687383,1,-0.6938649897020753
1375427,1,-1.732607785980999
2420447,0,-1.4401484517310799
3725853,0,-2.9660021252097484
2260319,1,-1.7089239435838466
1589172,1,-1.2088543297493208
1777685,0,-1.7364068333612437
3284241,1,-1.131465300017159
1127056,0,-2.6205566619018015
3662560,1,-1.598770459552273
1698239,0,-1.169825554027242
3122270,0,-3.480284230142086
1209966,0,-1.87579576047731
2513867,0,-1.784946537574965
3408119,0,-1.53147694613662
455189,0,-1.1819143721083196
518953,1,-1.0993230538725212
2427756,1,-1.5058063749942423
3218091,1,-2.034486810361045
1632184,1,-1.962681441124184
3514386,0,-2.3038066058281905
1596977,0,-1.0515053392241525
2407379,0,-1.9884542480912697
2861990,1,-2.290655258400866
2929100,0,-2.0282066890313013
385187,0,-2.0752809712789
1712850,1,-1.8465420986043544
280986,0,-1.8687775389487467
269338,0,-1.8968269462322698
2901090,0,-1.6775556929748252
292091,1,-1.0564203518993243
3776708,0,-1.6195651457747773
1508246,1,-2.4112906765580893
886687,0,-1.1022594898041138
1829227,1,-3.1806152860138126
632521,0,-1.3066732225255326
896777,0,-1.9242803520025853
2735257,1,-2.1364329197090544
2881075,0,-1.3078157430799036
2883557,0,-2.0988073605261794
451319,0,-1.0235265465534418
438885,0,-1.5844073330137405
1006952,0,-1.3606866666690973
1948531,1,-1.5953520840642925
507702,1,-2.7346440532258334
3386455,1,-1.8029776678464478
1888926,1,-2.6149153807883256
3723140,1,-1.5375471153344673
2673885,0,-1.1267882891354852
2678061,0,-1.1419648890107785
3011578,1,-1.4054580476473353
392102,0,-2.1257630215024275
2177962,0,-1.8715946616609154
2784463,0,-1.4606664986619051
1348102,0,-1.1491105706546434
2475737,0,-2.0383168557803453
1111495,1,-2.758736969621324
831076,0,-1.6433534558094727
1959346,0,-1.6359229436089753
3007442,0,-2.3565120801571977
2777799,1,-1.168151096075936
1727501,0,-2.019637786361521
1445909,0,-1.9055016678405567
3233540,1,-2.6910393984853545
1982067,0,-1.8213384708166565
3289072,0,-2.5556504182365956
497032,1,-1.3854583422853992
2692353,1,-0.1753728602351594
1136294,0,-3.235773529031244
273354,1,-1.2668960216315626
1671436,0,-1.8237955269463209
2469512,1,-1.891854600125712
1897720,1,-3.624723700176
2639997,1,-1.3948110200142438
943612,1,-1.6028339699472567
709582,0,-0.6199726970318428
1402938,0,-1.50843983044134
3741390,0,-2.270146933808912
2877307,1,-1.492863275376231
2903232,0,-1.137656855838752
3004802,1,-1.9152088321346217
1573945,1,-1.1973296893279848
1433312,0,-1.844735277225204
2458844,0,-1.4417917528131463
3488774,1,-1.5943901804166714
3862762,1,-1.3575547155600465
2433147,1,-0.8532089854383084
1266920,0,-0.5041607350158892
3852210,1,-1.785827595442524
1757499,1,-1.6599466257190842
1788985,0,-1.284029365131781
1554922,0,-1.3477561946003296
2888311,0,-1.4547584415562431
1936874,0,-1.6587800824404046
2483189,0,-1.6183347183298882
949723,1,-1.895476425358772
1289825,0,-2.1280786881503104
1309283,0,-1.3020974864087356
399641,0,-1.739251070544877
1871164,0,-2.4140604860023642
3891422,1,-1.5256435322963546
3137414,0,-1.9406028549099257
1287535,0,-1.3612951430185902
326511,0,-2.1125873957668877
679699,0,-1.4082570536628354
1101927,0,-2.8211227764561033
1601175,1,-2.4657157847284346
3507556,1,-2.0718397865569704
3059202,0,-1.223367441340434
2057415,0,-1.763467828593571
1783624,0,-2.136065985172163
424854,0,-1.505407038125779
2747169,1,-1.4910669991431003
1846573,0,-3.5865614247816313
1214531,0,-2.6899577531454706
2578126,1,-1.213051881230459
645743,1,-1.6746651889268975
2175468,0,-1.3038797652137537
365357,0,-1.126324368907187
3403534,0,-1.6040469017239596
1496515,1,-1.7361144201916714
2256670,0,-1.5152034032570822
3506957,0,-2.4478985975461063
243767,0,-1.81266712362636
1435108,1,-2.1742579187780002
1150724,0,-3.435285805780878
2896916,1,-2.076534810011503
3347994,1,-1.714516293767313
814716,0,-1.9231373896279946
1292629,1,-1.7427682276889218
1577662,1,-1.9064323985601344
2672442,1,-3.542590535678878
3330368,0,-0.6231852910354124
1301166,0,-0.837372656442695
3352513,1,-2.498574287721048
1664587,0,-1.5492255361336464
3086990,1,-0.5653679172990272
868477,0,-1.8737018621168602
952119,0,-2.453671441125083
3154927,1,-1.9938256600009614
347421,0,-2.0323246885859265
1571670,1,-1.7818953062027216
318799,1,-1.7551385497786387
904358,0,-1.7984675662984724
2486760,0,-1.142289254549276
722679,1,-1.0142464121402206
3834804,1,-1.8750677310889254
