sample_id,z,y
2631713,1,-5.700497816019415
3481316,0,-1.044227323604073
2785947,1,-6.344477566340966
1470497,1,-6.8218264714415655
1105408,0,-1.3806582026632943
1195879,1,-6.309042035109848
967653,1,-6.679466688989438
1906527,0,-1.1313717379489656
3714092,0,-1.0514334158814902
2268585,0,-1.2836025389429937
753350,1,-6.368253425960292
3312354,1,-6.690982791461262
928553,1,-6.424839068068203
3667249,1,-6.787970606054118
1733396,1,-5.942811731290107
1669332,0,-1.4161585344899041
1998674,1,-6.169257875991503
3936941,0,-1.056972532579107
1320167,1,-5.381928218659408
2415652,1,-6.231162772841796
3675041,1,-5.981113877846466
2555609,1,-6.859860056562173
605047,0,-1.5673409397733993
2585951,1,-6.323463936482391
3460944,0,-1.7045730821030067
2987496,0,-1.2515301792563676
2111168,0,-1.1549828644943625
3256076,0,-0.9582156781682256
2422491,1,-6.3331983825068985
218148,0,-1.4298689303494656
3710511,0,-1.8148336827879947
2573500,0,-1.1755371583708762
2206449,0,-0.9585894087258799
3777194,1,-6.433912542815612
978608,0,-1.4531208584050623
1095252,0,-0.9238933830644219
2894958,1,-6.411535375133484
3478954,1,-6.213418089479993
925093,1,-6.344289696036761
1471267,1,-6.3388471249454295
1401208,0,-1.2498899977841122
999318,1,-6.147408292731385
1092368,0,-0.7644822776629975
1243925,0,-1.2902692208489193
3798591,1,-6.553102603179953
3136325,1,-6.56350296146579
1948773,0,-1.854029452842252
2511254,0,-1.248367309246429
2201037,1,-6.030023956420376
2885672,0,-1.4033922232812899
1781769,0,-1.3522144478544917
429958,0,-0.9002382906619464
1426047,1,-6.170548320002854
2507681,0,-1.1541106282761622
269685,1,-6.345296680794287
605396,0,-1.4181937352224772
2196266,1,-6.785408750785607
3018756,0,-1.1202230116486827
3247019,0,-1.4529219683693773
1958774,0,-2.237651067619461
3951200,1,-6.282661714524302
2016975,0,-1.4715050518472501
3051079,1,-6.391890536032941
2473100,0,-1.1930836343007243
1503989,1,-2.4529882627627164
1100806,0,-0.9769965921508152
551455,1,-6.631386563073799
3715313,0,-1.0980938232127766
3520139,1,-6.255383082449059
2045589,1,-2.1684083428736014
3115706,1,-6.581194439956623
1012141,1,-6.230093638041129
916432,1,-6.169585070245697
2835680,1,-6.2394095954095405
2451127,0,-1.4268603012788745
3104538,0,-1.0711130742673192
1525876,1,-6.628782548936405
612336,0,-1.3259788514052246
3720409,1,-6.488055537052256
3671818,0,-1.099792686754434
1503408,0,-1.3227862398692471
2510503,0,-1.432920851675855
1840974,0,-0.8943701768177836
2422408,1,-6.329637843344128
235329,1,-6.5348715467684615
828066,0,-1.5110181426471267
1512267,1,-6.633861167054516
2641505,1,-2.3156207073649244
1434462,0,-1.3924906535576078
3051214,0,-1.2685291095926696
3395318,0,-1.3599349453076366
2790347,1,-6.6726735986145185
1979808,1,-0.5374469596785884
226203,1,-6.328235146278371
1764615,1,-6.0478437901076
2599094,0,-0.9649871846146089
3137098,1,-6.7840089296721295
2879306,0,-1.746543242921573
1205898,1,-6.443061846041135
1514108,0,-1.4078883109758134
1033289,1,-6.535596540764079
995142,1,-6.3613035536768745
3914648,0,-1.614244581044856
2592675,1,-5.66145585789781
1099494,0,-1.0058484162939616
3951631,0,-1.3341858472215025
409392,0,-1.4628379793680975
1005825,0,-1.2920539286295418
459940,1,-6.479880383300105
1608704,1,-2.5527357195708715
367688,0,-0.9845242510720993
1276075,0,-1.405974914734496
1874938,0,-1.3980208356492498
1363507,0,-1.2369566278571054
3907873,0,-1.3904825176011808
1821893,1,-6.233614054329326
3491409,1,-6.3977547219026025
1910842,1,-6.48232674200288
1835843,1,-6.578879245199541
957025,0,-1.2398930765938052
1557955,0,-1.0922518398220344
1809645,0,-1.381930635768698
1458381,1,-6.743564012012353
2974035,1,-6.553658268102861
3148179,1,-0.6081459057192036
1378806,1,-6.340651891221601
1767846,1,-0.23433532752907746
1846668,1,-6.099988877054933
414167,1,-6.34602637351105
3949571,0,-1.5046290236081492
2887971,0,-1.3004021717744576
2880876,0,-1.5671319748509038
1560582,1,-6.326148541875994
541914,1,-2.774880638764823
3118279,0,-0.866878922598487
1543295,1,-4.249660397218325
708998,1,-2.752253748061318
1539931,1,-6.5689710527050025
2902138,1,-6.496473887953849
3497438,1,-6.180572484843474
884192,0,-1.441768457185391
1220601,0,-1.3324507852994534
2127925,0,-1.5383354410863115
502310,0,-1.2350505973447254
2046744,1,-6.529126414425094
1116132,1,-5.748909443597028
2770184,0,-1.498324853669794
1340886,0,-1.0763014444722305
1234100,1,-6.610248814035504
2710986,0,-1.6162055272055824
2511262,1,-6.24400982620115
3351067,0,-1.2056067692664623
2991602,0,-1.278802667849213
3481363,0,-1.4954841740011573
2659077,1,-5.93992616700783
919236,1,-6.350949071884469
1680335,1,-0.7814922789004632
1792940,0,-1.2498519100703562
703587,1,-6.692741385920292
2893962,1,-6.320901345641261
1602298,1,-2.297393236065211
3507214,0,-0.8557731955541967
2002375,1,-0.2260620944965708
1211835,1,-6.317248551733852
2714253,0,-1.2859177140904068
1824699,1,-6.873938135647132
1966536,0,-1.5469323888403181
2196452,0,-1.3522488928818677
2839482,0,-1.3852450914149825
3513230,1,-6.7244179725067985
272346,1,-6.344051816519884
2668968,0,-0.9226750429710011
2563315,1,-6.461323932037595
2260476,1,-2.165736857566187
1879065,0,-0.11911059960573228
484986,0,-1.3580819107943594
3104133,0,-1.3701764549100524
3134871,0,-1.457380374631735
2945598,1,-6.482020607062464
3471083,1,-4.0562333537355
1671614,1,-0.8213367740590954
1529770,0,-0.9541739422246556
588510,0,-1.2486478959402916
2185957,0,-1.1219425323006034
2477731,0,-1.8206798574042895
2133823,1,-6.567628505911077
1416813,1,-6.922197896709008
1470378,1,-6.66053935175574
3365068,1,-0.4947133449230804
2479680,0,-1.1368505260680715
3228138,0,-1.650058620010689
3880542,0,-1.4024794626605301
2522702,0,-1.1377445706323226
339388,0,-1.6023403953079196
1626586,0,-1.399555542625196
3277520,0,-1.2845358948978685
962817,1,-6.486022372443442
2221864,0,-1.3867515519746572
1915371,1,-6.767182741257541
1504024,0,-0.9945149169776994
1482243,1,-6.144713163884444
3471662,0,-1.5604829338642965
1232868,1,-6.404388495977251
298081,0,-1.5016341836736196
3018022,0,-1.2774032017548678
3127253,1,-2.172760512950711
2452654,0,-1.367166238778433
2220619,1,-6.2410951335031575
405777,0,-0.8817239290310768
3279900,0,-0.9736242058449167
2674154,0,-0.9371665550451265
1893566,1,-6.290281878926121
2817353,1,-6.365846425678412
2189935,0,-1.2283162221295576
638482,0,-1.5462394855687436
631838,1,-6.434731411765816
2636967,1,-5.856346531278177
1972295,1,-0.6495367072823492
1809620,0,-3.0727977264506854
3696801,0,-1.4165985801815604
3075585,1,-6.277714971755868
2922442,0,-1.3707801510927258
2511953,1,-6.198594127855695
3368192,0,-1.1836072894097809
1644870,1,-5.699831384040365
1430899,0,-1.3026310570894624
2548061,1,-6.499171924851445
3364949,1,-6.201233427240836
1884615,0,-1.607410343771465
1300072,1,-5.771113307923827
2705537,1,-5.792875488123182
1235433,0,-1.2114598027878134
3376316,1,-6.40024968617654
3288872,0,-1.3060145948863706
1096791,1,-5.905255151368107
1744994,0,-1.592083208592385
3530310,1,-6.161830762881766
2151522,1,-6.257304175226734
1739120,1,-5.910013400425788
871398,0,-0.9623782869481239
2977142,0,-1.4608873374903115
2651747,0,-1.2758031883479795
2480340,1,-6.2928434425727415
1032483,1,-6.56682564768063
3081894,0,-1.3684223079144289
1072268,0,-1.2296111401456256
3470868,1,-6.485710042284937
1789042,1,-5.746101256323287
3141079,1,-1.870186595368738
2131247,0,-0.8720509114865305
3399639,0,-1.5030141316947927
1677754,0,-1.0346517427905613
1578845,1,-6.645345204749979
2589142,1,-5.74816239754449
2130309,0,-1.1949625617990576
2703984,1,-5.973546321078422
2914184,0,-1.4297852983232584
3272188,1,-6.593160944212962
2222642,0,-1.3132887492992444
3250516,1,-6.233375296172552
3155987,1,-6.417703023344127
3262281,1,-6.557502055529378
3149873,1,-2.3519451327887886
3418673,0,-1.4815050673565937
566554,1,-6.530776590502369
246516,0,-0.8934228257635279
1118296,1,-6.158644732626311
1704382,0,-1.3722774652795273
759804,1,-2.1552751038669093
2229962,0,-0.9757248019595974
1395689,0,-1.2776949552982932
2236960,0,-1.162494797438587
238414,1,-6.562321183632657
1140736,0,-0.20090263353239962
609831,0,-1.1775190111707925
3804141,0,-1.1926394460928946
2403028,1,-6.807464945700152
375254,1,-6.577574564381975
1413849,1,-6.676130900878207
236802,1,-6.374662017851139
2971122,1,-6.456777400368602
1516364,1,-2.584041544215317
2762294,1,-2.0894640964980975
1229935,0,-1.5991007000805
2815107,0,-1.397718660580241
891971,0,-1.4751912570635795
3860051,0,-1.1937020854699876
1809396,0,-1.8136841917236612
2877343,1,-6.222846104082747
441678,1,-6.50284927976075
280507,1,-2.543376492035398
2269000,0,-1.191608007727903
2168091,1,-6.524515681307588
1568214,0,-1.2108333716363662
246727,1,-2.3326398354715874
1103303,1,-0.33373405579173526
2239529,0,-1.549362301940832
416889,1,-6.075172319271686
3735107,1,-6.322821803911482
1161280,1,-5.752353465261242
2942549,1,-2.4875793142472027
1808014,0,-1.4195183638432103
3673719,0,-1.5628463001148947
2483237,1,-2.335483559041873
2861699,0,-1.429778523646291
1941323,0,-1.2491768396488914
1092125,0,-1.1846968925812749
3740039,1,-2.1886363303066307
2434234,0,-1.2991031029956315
1562995,0,-0.9755455010087488
1624923,0,-1.5510548403209772
1195502,1,-6.3705403907032006
2525829,0,-1.5464314822689278
1630274,0,-1.099232164628164
1685647,1,-0.8075371224467227
258833,1,-6.146389228133021
234254,1,-6.431103816225285
2946529,1,-3.940530101434595
1193790,0,-0.6081085016218686
1463053,0,-0.9812790437400511
2663711,1,-5.667624167190062
592828,0,-1.1610235125739132
3103669,0,-1.1771341315937374
1414075,1,-6.376407917614204
3183444,0,-0.9175746524858989
1858727,0,-0.6442881509417306
520716,0,-0.9903959919872617
3462287,0,-1.1650507025591708
1949333,1,-0.8076775848540692
1068924,0,-1.0562012171236563
2969676,0,-1.453867486235812
992628,0,-1.2203504950540833
230822,0,-1.3612041764694018
2151058,1,-6.564871411732028
3362160,1,-6.71575764624189
1677028,1,-0.19841224414356673
954297,1,-6.75917295172191
1102631,1,-5.7314951463807455
1997755,0,-1.547061867881781
2833614,0,-1.3983201135909755
1517955,1,-6.330345574827063
650346,0,-0.8536164263306261
2538636,1,-2.116248428323423
3508863,0,-1.3463253475920245
3048858,0,-1.3055870583528257
2501144,1,-6.6587593927591024
3461081,1,-6.348259019986042
1493030,1,-6.756354488536663
2892313,0,-1.39164969600982
3227285,1,-6.117395126169276
3945078,0,-1.7388685678677758
683071,1,-6.162966547866401
1504599,1,-6.252220460456687
2113866,1,-6.465676727983426
301947,0,-1.335472125019398
2399911,1,-5.967031799427867
669378,0,-1.3853198823631512
1542430,1,-6.489853498726122
3802857,1,0.3573977182477115
931794,0,-1.3168571636013888
1091899,0,-1.3269863162247006
1252997,1,-5.675724421591217
1281713,1,-4.130126918066845
1389756,1,-5.507759869332551
3750753,0,-1.3128565897243996
502202,1,-2.14745142013636
2654544,1,-1.206843441514966
2846490,0,-0.5099133795446705
2633142,1,-5.691351947498815
3901676,1,-6.47291293243486
1643076,1,-6.0449730280345255
574440,0,-0.5404073372819658
1402949,0,-0.8395534738152282
324332,0,-1.4252871015182746
1142149,1,-6.074579997918044
2560761,0,-1.2626517598938038
2898176,0,-0.9028822971357983
1758059,1,-5.762190331668399
3110695,0,-1.6481595216740559
3503550,1,-6.113932755247977
1150968,0,-1.304152165736178
914315,1,-6.434824362823514
3139245,1,-6.889536615521038
609348,1,-6.356762215500605
349633,0,-1.4493291273414068
1971153,0,-1.5519031305238349
272171,1,-6.4401105128095795
1146624,1,-6.268343458099233
3080585,0,-1.1897068571595149
1743282,1,-5.809799915920111
628834,1,-6.87237887050211
3136713,1,-6.5260067330770966
1823785,1,-6.3105510313230715
1497918,1,-6.000464355858803
3662965,1,-6.694445946699248
3850943,0,-1.0667212760116822
3106128,0,-1.217074598014658
3894725,1,-6.074844055279541
2887930,0,-1.2736217071110287
1686869,0,-1.9206682587391513
3236146,0,-0.9260529052191575
1007156,0,-1.2365596006426909
1662607,1,-6.581919152967151
3335328,0,-1.0959392700634998
3053830,1,-5.960813212002023
2199495,1,-2.200799038122986
2156771,0,-1.418664400539038
2624214,1,-6.116021131199802
2716860,1,-6.472623946422414
1863856,1,-6.706581571676958
942019,1,-6.795806201183413
521230,1,-6.4895101370835455
3390189,0,-1.071057411422328
2246818,0,-1.6333018962470018
404529,0,-0.9947812815750616
1718708,0,-1.5551229643615434
1386167,1,-5.744702434092442
2412185,1,-0.932833775243755
911968,0,-1.3474693494550614
2934660,0,-0.9357052088394346
2412682,0,-1.1552379610629404
1603610,1,-5.8495275740946
3243010,1,-6.4877564597140545
1691583,1,0.10022046243184363
3755395,0,0.14311280134091992
1333783,1,-5.942659623669856
2861894,0,-1.5840231668396718
1835284,1,-6.325276831962616
3548251,1,-6.116306577096406
582612,1,0.73134057049432
2058902,1,-4.190816036804341
1408348,0,-1.2167296336634927
3166708,1,-2.5370126711516394
2789362,0,-1.2444345660197398
1392414,1,-5.799597321700815
3436883,0,-1.0054200166117655
366458,0,-1.1032823605175748
367091,0,-1.3655895248279173
3186311,0,-1.2474344490959655
2480866,1,-6.381954258655524
2531855,1,-6.137384328680222
836982,1,-6.151570285920864
2421187,0,-1.436301002210247
3095923,0,-0.909214603785437
1068407,0,-1.2731246275123513
2819856,0,-1.321308157632167
1363126,0,-1.3047715342652413
2486760,0,-0.9970212099289755
233416,0,-1.4810516082009513
3428542,1,-4.542133182039275
1745141,0,-1.5820195444147624
1876379,1,-6.341325039571346
3882608,1,-6.211281290268902
1094194,0,-1.2364644213276392
1253417,1,-6.276642030638535
2219345,0,-1.1347663618249941
3166593,1,-6.582843780844989
1962379,0,-1.1661554429603729
727346,0,-1.662330436340819
3486973,1,-4.459486015274624
3701378,0,-1.311840106474017
217366,0,-1.3800598262316242
1705751,1,-0.8424453391513287
255375,0,-1.4158528707487956
2422265,1,-6.549347632571003
706757,1,-4.260253706891017
1213266,0,-1.120318214069142
1055496,1,-2.6634193369674124
1394430,0,-1.1851757848603737
538637,0,-1.3271327795471928
3443945,0,-1.0429414927477407
1304391,0,-1.329967241108998
3801853,1,-6.087420512652336
3949949,0,-1.3354153360115708
1688128,1,-0.8480867984618072
1085359,1,-6.0587704872080685
2252014,0,-0.9645275598804572
1389410,0,-1.288452640529263
3192693,1,-6.511537746088606
994019,0,-1.1690022677704386
3043161,0,-1.2262567388881949
1464306,1,-6.438522395712418
2600329,1,-6.121246090068317
200083,1,-6.208974014212061
