sample_id,z,y
1572892,1,2787.1662262074465
1751369,0,7027.077832472611
2481175,0,6189.324471112008
2976048,1,11438.261573318801
3941225,1,6597.035375923963
1742602,1,6596.772697008603
1471582,1,7965.766348618125
2012152,0,3664.34905016559
1407160,1,3388.5356389488074
2919444,1,6596.663556562268
1632631,1,2810.1493426907127
3661033,1,1553.9303656952127
2882830,1,2810.386829537986
2273743,1,6254.90597865206
985274,1,2772.8520576817787
1827681,0,7917.993915075479
1987115,0,3983.5952277717984
445665,0,7027.641488852883
2278936,0,2776.363130160983
1705800,0,2247.6311270533492
1342534,0,8860.121318553738
3668444,0,7028.0174048282515
3655004,0,2507.6968524440626
2194327,0,3355.7505308298355
2474310,0,7918.128029068472
1063551,1,3697.586860339932
1479862,1,2502.7983263935726
964930,1,4663.375395124605
699990,1,10966.490237198952
1842346,1,2283.8922811429443
2861666,1,2810.963465425746
707650,1,5784.535456385703
2488492,0,4668.766000757999
2886146,0,5402.564431944361
1311247,0,5402.412650776969
1904388,0,5028.896942899313
968866,1,2811.2448501631948
966620,1,6597.698243183281
2706578,1,4734.292807302823
2685838,1,4701.361735078664
3201427,0,9853.69822964033
2737801,0,2250.3249692682098
1736128,0,2005.0516205741615
1548279,0,5789.571967777632
2917316,0,6189.360248627277
3538487,0,4668.941381093006
2894875,1,5398.376797156484
2838386,1,7912.8358691052545
973776,1,9849.868762033686
2559847,0,2006.004820330847
1101524,1,5062.229056169326
515427,1,5785.104234713013
3886455,0,7917.880615835062
1531720,0,2777.4513672646253
3656965,0,5797.234073960416
3320370,0,7027.245355571149
3713272,0,6189.361837361914
3778598,1,3980.693674641559
1027324,1,3659.5939569158104
3441538,0,3059.436018030894
1135446,0,2776.5939026496626
1308109,1,4315.234768309079
3384241,1,3351.003313064615
2494866,1,3981.4256182950726
1326593,1,2772.091836597727
2477240,1,9346.324334824913
556666,1,4663.448671785228
2843037,0,2776.976878200793
2149222,0,4669.174579919959
846997,1,3055.3964260809594
2186329,0,3663.85681533353
1387676,0,3664.71716172513
1812304,0,3059.858609442669
1784493,1,5855.324507945396
3955620,1,2385.708636319184
1862181,0,3664.3814756624784
1111563,0,5402.5198967599945
3533656,0,6602.487582580517
3348115,1,7461.026116050272
1784505,0,8382.297575605666
3344384,0,2464.696554959996
351018,0,7917.695342540578
1129907,0,5026.817167553633
