sample_id,z,y
230836,1,-2.009198967468572
3750321,0,-0.1735040011615978
3069252,1,-2.39967017382325
2904326,1,-2.0651677752557105
3522008,1,-2.122515017963809
3167333,0,-2.3952709634284477
3923707,0,-0.8432293647976699
3223082,1,-1.8064135905554246
1150190,0,-1.1504270752201047
3445783,1,-0.4395563894253486
1347549,0,-2.099321348534667
3230450,0,-1.8010935707859121
1455797,0,-1.0485061090627688
2945179,0,-1.569102020946767
1119804,0,-4.47264955352412
3756488,1,-2.915455045011117
3404618,0,-2.087946564665528
1315283,0,-2.1988660091762076
3920165,0,-1.8184157538791434
2420046,0,-1.1758562003152073
3168486,1,-2.1366143669456563
3678838,0,-2.534789626067657
3543033,1,-2.216494403173696
2062561,0,-3.0668695201407488
860581,0,-1.7209647007139148
3400297,0,-0.6729014672561824
2605251,1,-1.6097850861198462
3449261,0,-1.7466365678198983
700762,1,-2.0056501700414486
3773160,0,-1.3975539205612937
1556182,1,-1.0565480578316286
1258248,0,-1.874278146617738
2390986,0,-1.1531097512856903
3833263,1,-2.5073375568599
3870597,0,-1.8786097584797472
909822,1,-2.221041504992223
2156519,0,-2.1709517610496296
2848782,0,-2.499723333577897
421713,1,-1.9056900383569984
1320316,1,-2.005352682637809
441440,1,-1.9282625634023067
492407,0,-2.386762133930992
2896796,0,-2.583755135726658
3121318,1,-2.2012543232188424
1697088,1,-2.832111632504422
2722485,1,-2.8123725839100993
547646,1,-1.87793143346438
2244358,0,-2.361165011042897
3763574,0,-2.8740421884180973
997835,0,-2.374202536713293
3801300,1,-2.437179468903405
3957983,1,-2.888936785411347
2623049,1,-2.7187753933517746
3944940,1,-2.3813131354384387
2713732,0,-3.044333999408284
2825993,1,-2.1013936992285447
1747300,0,-2.1285615943892564
3511944,1,-2.004910258017094
3879456,1,-2.4952814199755973
1001511,0,-0.4556931484725631
850887,0,-0.542448056115924
1195067,0,-2.0789797879319716
1853126,0,-0.8663110619888986
216779,0,-1.7144582356798221
2218683,0,-1.612519783906135
2155025,1,-1.7329037734682295
1838190,0,-0.68793384235599
1246257,0,-2.3708430380108547
1061613,0,-3.394016453644584
2708643,0,-1.2753049263697378
2403299,1,-0.8981396118127956
388513,1,-1.9169832273251042
1239163,1,-1.7779202442205366
3790983,0,-1.366749814993964
3451204,0,-2.2568130210844966
2190125,1,-1.1538133602034097
454777,1,-2.354815029917554
1612350,1,-2.2826476066998795
733717,1,-2.493517534617178
2933102,0,-2.776359377880107
1022087,1,-1.135103241226737
1817273,0,-0.8248734394999425
533295,0,-1.4078019193001756
971440,1,-1.9412619787147192
1124151,0,-0.8603025128401838
3037995,0,-2.4406835458240286
1540043,1,-2.924221462671281
2466479,1,-2.2918628455443297
2040155,1,-1.5378672448878548
800709,0,-0.9621320807314011
3399265,0,-2.1218820329586054
1672671,0,-1.653900036653474
1171482,0,-4.866573783631213
3391340,1,-2.1112822372802524
3947361,1,-1.6064070224257951
1470413,1,-1.8610893831140358
889858,1,-1.9784193912724162
579245,0,-1.9211117794953754
2673973,0,-2.6969792016395884
1125568,0,-1.2003667722764217
3322462,0,-2.49286759587513
2161478,1,-1.8256627383783608
945290,1,-2.0228526571137593
1045397,0,-0.8318486135827224
1532828,0,-1.514689927436952
1626009,0,-2.8525277957179282
2421271,1,-1.2504833093614822
3696064,0,-2.3391381207131894
1013015,0,-1.241866016601974
3139216,1,-1.7235231050218096
1086269,0,-4.401959603093681
2183170,0,-2.2433260949118896
3346260,0,-2.1974916024506785
2695939,0,-1.2207256904050379
2499334,1,-1.9862918418019715
1766384,1,-2.696131376366643
1467895,1,-1.3370819673733834
3409214,1,-1.8892341819300715
2787716,0,-2.51763646857218
3843071,0,-2.949330105894675
1398333,0,-2.2116825475845796
1206618,1,-2.231551835326436
1126112,0,-0.3963624874373117
3152322,1,-2.530156508566811
3274823,1,-2.133988489544028
3796494,0,-2.6140158791655574
3531661,1,-1.9502718458482988
2011810,1,-2.3704094395862145
386610,1,-1.8802838165373263
3772844,1,-0.08360585259325726
3031502,1,-1.9991722894689632
634975,1,-2.3235666373840136
344052,1,-2.0691562272799713
2656676,1,0.03924143223691501
3088386,1,-2.176093020030616
2626380,0,-1.3192550757811907
2575481,0,-1.9402658283126564
658429,0,-2.944734220660368
3062902,1,-1.8146144887129552
1116863,0,-0.6501513349091241
2967143,1,-1.375177711296475
3172200,0,-1.9814550682893433
351645,0,-1.7159673988867588
202302,0,-1.2268101035435568
3686611,0,-0.7727249070910414
1830438,0,-0.3987041616353225
651145,0,-2.646214999243446
1669099,0,-0.3912373958965467
2668666,0,-0.1328356756581729
1323087,1,-0.527544797345714
575874,1,-2.0689757594725453
896097,1,-2.646291224056985
2541199,1,-2.7309764667178507
3049658,0,-1.9239919838154462
1354541,0,-0.8137348651567615
3252707,0,-1.038541074215241
1015620,1,-2.047942594505006
416016,1,-2.71109557556871
1668839,0,-1.2884314165498871
1558113,0,-2.4269121795025064
547576,0,-2.28826145911424
2868737,0,-2.407047134105112
3480953,0,-2.297257355775429
449913,1,-2.390386578597052
909584,1,-2.434710291212118
446364,0,-1.5897452204930085
2431562,0,-1.8644446810236988
3899932,1,-2.0011321112353198
3101613,0,-0.0471509975829596
2798116,1,-1.734159020602546
646339,0,-2.506656067503366
2203104,1,-1.7312243567020738
3905578,1,-2.0325022478005628
1325003,0,-2.2084319382812736
1433757,1,-2.2986510789183705
2248360,1,-1.7174891645089487
3848423,0,-0.09996558595718241
2538516,0,-1.4442520030040513
1373701,0,-1.839526365625786
302086,1,-2.47299592271267
1283221,1,-2.117099667273606
2693077,1,0.0034134088887260994
1719857,0,-0.7903586914497706
1607718,1,-2.03132334345335
475796,0,-2.0791268566999808
2128786,0,-0.4309378585211365
1627398,1,-1.9542564023978284
3094150,0,-2.3700402006862
205283,1,-2.2265952616154987
2807543,0,-1.7002488012998422
2692387,1,-1.894295124796634
1004069,0,-1.4362315117199005
2160877,1,-0.7688183230380099
2805975,0,-2.551842583718776
2416617,0,-2.3157462756359513
1610078,1,-2.2494938756828544
1471283,1,-2.746648650993602
1539931,0,-1.7832244690621266
2808279,0,-1.864024493772226
967697,1,-2.3857817034793456
3168293,0,-2.6681412312542525
816583,0,-1.5878448171367339
813599,0,-2.8885900541240455
2997186,1,-0.9150734067354689
2537074,1,-1.6759820578350813
1328722,1,-2.230534977983061
1046196,0,-6.390578201653813
1326783,1,-2.363683801812202
1618937,1,-2.7058220575541054
968866,1,-2.1982930232274955
3229323,0,-2.5994692924156504
3137846,0,-1.7247949951697985
596000,0,-2.9718854486115536
1552707,0,-2.3048120084919583
1283265,0,-1.7497914110309867
2733170,0,-5.170625664421756
2178204,1,-0.7174277296746876
2508623,1,-1.4672780265365453
1975839,0,-2.4713391481379565
3728532,0,-2.781471240472351
1446944,0,-1.8105958114545517
603266,0,-1.9167224237211835
1251586,1,-2.4320680954259486
3206722,0,-1.852450900072241
627330,1,-2.575048015672281
3468585,1,-1.698068143966422
1793814,0,-2.510317151115352
2537278,0,-2.375037976126258
865497,1,-2.3618209930050447
1826989,0,-5.085595857702198
3125799,1,-2.4724322838536246
2567371,0,-2.697598113988082
680713,1,-2.0965313276693562
2558460,1,-2.9195347047040006
2566888,0,-2.4985373376772224
1169891,0,-0.7303670775796178
492083,0,-2.795472980274625
1291257,1,-1.7456440150964128
3141834,1,-0.46050750339093505
3711963,0,-2.1490216334051855
1683497,0,-2.3700280075146365
1842513,0,-3.5837931074643117
3336431,1,-1.3918279415090646
3661098,1,-1.0890994725195764
981736,1,-2.2734085574764884
2798127,1,-1.988277568707532
1343424,1,-2.398333428232566
382611,1,-2.4427827812039133
1836149,0,-3.2880403127905975
2691379,0,-3.0000106392730777
2223434,1,-2.8336686269695024
1244234,0,-2.6646167519836155
646292,1,-1.4146534848681287
2626747,1,-1.269799778592494
2967747,1,-1.1251415459361591
537171,1,-2.7159881670742725
3728288,0,-2.2629820405737213
1274639,0,-2.2085791671364707
1115758,0,-4.996768131789001
3529047,1,-2.340225419100432
3651513,0,-1.6261397935974262
2662033,0,0.11372679757070336
1053977,0,-5.130018809781245
2853781,1,-2.0722470782093287
3471737,0,-2.101218327920353
1430421,1,-2.24570481749019
2567866,0,-0.6761491306363939
1634931,1,-2.5615772353496147
3052517,0,-2.2498076448118893
655348,1,-3.320957493758479
3102933,0,-2.189501913608749
3083108,0,-1.5057134128894902
2822531,0,-2.2034563248284527
820646,0,-1.9973191497626703
2163268,0,-0.1979929144626298
512846,0,-1.6539671295654284
485833,1,-2.3148926906337395
2998821,0,-2.1740930294005625
230336,0,-2.541756580784211
1872648,0,-0.25317607088869065
3692987,0,-2.5107171457481208
515501,1,-2.0157613303907476
2762300,0,-1.4661127912435195
1533295,1,-1.9037960561912217
1003299,1,-2.308249336315219
1591508,1,-2.1183473964744755
1020191,1,-2.1335254366228615
2500451,1,-1.9888288179708056
1456007,1,-1.9586540709162898
1293673,1,-2.1670502786009003
1133451,0,-0.8580749896005566
1345124,0,-2.118183553576245
3434245,1,-2.594473760688288
2794830,1,-1.9084477655233476
466824,1,-2.631960291496318
344456,1,-1.9622404181340112
2406722,0,-1.0958132689574323
1759276,1,-1.913546162410036
1573211,0,-2.25509816670096
1325592,0,-0.7598535700818164
752963,1,-0.9304430151045362
701085,0,-2.384810508971539
2796353,1,-2.0243372850404966
1052601,1,-0.4851197133768208
2250078,0,-1.9255788766618678
2505432,0,-0.9758137427915591
3173707,0,-2.6292890373725366
414602,1,-1.8879586325576663
2145613,1,-3.017694684428941
3709909,1,-2.51218673917306
1406369,0,-2.7214134701887445
516519,1,-1.3634273546295894
3930395,1,-2.362487444146722
1158849,1,-0.515841839382715
991479,0,-2.2262910208201516
1257862,0,-3.0146844845109695
3009882,0,-0.9631046799893257
2440603,1,-2.4165484692282027
3766012,0,-0.7553161122538248
3237974,1,-2.1550033708105163
2038297,1,-1.979461715697541
2838510,1,-2.260483005398707
348346,1,-2.5367954173619975
1740778,0,-0.8538589393447381
3446379,0,-2.210776651876395
949793,1,-1.6894731447053473
1726733,0,-2.016616247841921
3104436,0,-2.3003172321447587
1436559,1,-1.5842472057838708
760280,0,-1.9362390916447312
1440087,0,-2.3655164463723466
3206618,0,-2.138164648372643
1261569,0,-2.4233696483879825
1073099,0,-0.14805946445534424
2431905,1,-2.4342821753196864
2784838,1,-2.3522593650362524
570190,0,-1.8934182696713076
3492207,1,-2.5404714882226096
2780369,1,-2.4553032200942493
1972275,1,-1.678449774494841
3655068,1,-2.467705001754428
2762943,1,-2.457930079186463
2025090,0,-2.01842083484743
1703572,1,-1.8983608234627596
3445138,1,-2.4787107398419552
751972,1,-1.7209023645219725
3714020,1,-1.9599543076192236
392834,1,-2.2170467477260596
2400805,0,-1.0326093182180176
3092662,0,-2.466261627759869
2221889,0,-2.0372584184980798
3238079,1,-2.258467741964477
1893942,1,-0.12824484778816225
530965,0,-2.200245313557014
584769,0,-1.7180764214222033
3670173,0,-0.5532698689736346
3435943,0,-1.613462540057777
3511231,0,-1.9970683960832103
3667927,0,-1.7783002613756478
216669,1,-2.534621669430663
1764860,1,-2.1104068258962467
1485908,1,-2.175827585723755
2048836,0,-2.0053724244218376
3007035,1,-1.7246242970108339
1632474,0,-1.8557256295357318
828589,1,-0.48194139267339275
3660003,1,-1.9753149728516874
2024290,1,-2.537066826545225
3800996,0,-0.3595057949393402
3832957,0,-0.26761601007558133
3527755,1,-2.190192842821428
909779,0,-0.7960608939683046
2832823,1,-2.1353762753127623
2416296,0,-2.6451209332831493
1884929,0,-0.9240862222478872
736035,1,-2.5748488141441426
2724078,0,-2.4207995590979765
1975396,1,-2.110094182643168
2473362,1,-2.02893340331113
3120694,1,-1.963406661077879
1446105,1,-1.392907569195002
929410,1,-0.7629514808487516
3733439,0,-2.17070724997554
1276164,0,-2.145292066464933
3850334,0,-0.5783064973687162
442059,1,-2.2561766663952363
3358643,0,-2.3315557454144287
240397,1,-2.290199221256807
2043766,0,-2.7678082553247623
2681081,0,-1.4833991119586694
3943226,1,-2.068038566980657
2670736,0,-2.279424117259435
2283712,1,-1.9649831642031579
847795,0,-2.254650336146509
2658320,1,-2.822921572035759
2724849,1,-2.586929717809161
1337968,0,-2.44060890345499
745600,0,-2.0169225389231373
1812304,0,-1.1195373173981833
949356,1,-1.75904232348085
3033874,0,-1.8866012155628045
1600237,1,-2.3411365978015573
1143235,0,-0.8529868912448983
2566414,0,-0.6718944343413362
1596775,0,-0.8772622774699709
1746428,0,-2.4129059930936068
1059930,0,-4.2109687161946425
1237824,0,-0.492542796901964
2199908,1,-1.7091480491571542
3898845,1,-2.294327131329641
1548580,0,-0.8755477999658277
2947215,1,-2.4570509636780007
1680177,1,-2.939811394476957
242194,1,-2.5839598399869392
2566854,0,-2.572361365737872
672022,1,-2.073922248016608
1593403,1,-0.8629574656235879
1228282,0,-1.6652786182197934
2196471,1,-1.5932689169870498
809409,0,-1.8919681688073737
2644977,1,-2.5590308363607273
2494609,1,-2.0742495739279443
661373,1,-2.5351871675484334
3927313,0,-1.558581297138128
1444646,1,-2.5684178802344455
3883952,1,-2.201836843091892
3957666,1,-2.253660430279677
2891325,1,-1.033593248831185
1594782,0,-1.9867888160740435
2639968,1,-1.8149941847079185
3369770,0,-0.8116223737621899
3252959,0,-0.7467671359280293
579310,1,-1.452452907094273
2182978,1,-2.019339116994419
1727898,1,-0.8236751056115196
3409783,0,-1.822912231793627
3261636,0,-1.1227716540918389
2596438,1,-1.5347332236332352
3674906,0,-0.43708496968654287
2053067,1,-1.7799431609446863
990562,1,-0.4595544544960827
3428095,0,-1.5360917052663352
3538503,1,-2.3275486227854203
597323,1,-2.9396722397967614
2992442,0,-0.5083367189853829
