sample_id,z,y
3666586,0,-0.20759362611956134
1280022,0,0.5790324887154326
2470764,0,-0.3983024483519513
1432441,1,-0.015806877787463314
1919775,0,0.2535490872071213
3752820,0,0.04499029882383279
1541950,1,-0.5909430633672264
2119001,1,-1.5600734674084396
3450910,1,0.18308814452877392
3459499,1,-0.2817535955356181
3776576,0,-0.246424391549659
445087,0,-0.6374058991825943
3167016,1,-0.09794600889074989
1816477,0,0.4833048064897689
1477334,0,-0.025773222921424865
2872926,0,0.17331683661594274
2034164,1,-0.375587356097015
695909,1,0.04531896447044914
366439,0,0.5388618958952969
3416506,1,0.030858339692742737
1197925,0,-1.378826043336029
3354333,1,-0.3916720532699848
3838260,0,0.27625569193073596
3739948,0,0.22022703596272594
1771345,1,0.08723306021179755
2563152,0,-0.10146531805795261
3802273,1,1.5993778360215427e-05
2835621,1,-0.5266186595988241
3105303,1,-0.010057858428545794
1755244,1,0.18307969769741617
2492263,0,0.599276883146997
3394397,0,0.28149191580401184
365709,0,-0.40930757241573223
3524900,0,0.13333230012025607
1511458,0,-0.6146292964539543
645605,1,-0.012521664857354741
3711459,0,-0.3400218007698971
1549401,1,-0.46406543185257954
324289,1,-0.9059403755392348
2056810,1,-0.16521502675671357
568478,0,0.7669374056188443
3172798,1,-0.1965126552366736
554331,0,0.25215346290089846
3010894,1,-0.41160254937246094
329493,0,-0.21524754602378998
1302705,0,-0.974600504263873
2106882,1,-0.164218493124439
466200,1,-0.2885576265398222
2588233,1,0.1693972721956002
234331,1,-0.05783532977661303
3925797,0,-0.24649095834792142
1374575,0,-0.3002390860120531
3729001,0,-0.36186452641205413
3732444,0,0.058392167662836315
887330,0,-0.5056965944184729
1667634,1,0.15812130464470125
2578263,0,0.10546954851253248
3380463,0,0.37576973141631637
3666507,0,0.4767800589754573
2200175,0,0.29368363603833303
493222,0,-0.08658074281021605
411285,0,-0.17338482712852604
1605615,0,-0.31930921277762087
2929011,0,-0.5327780357031767
695132,0,0.6192226539984023
2876454,0,-0.6724273300048215
3349901,1,0.16863705672997997
2121135,1,0.010704637479743873
3755115,1,-0.06673697398069196
2999749,1,-0.5498874473444983
552861,0,0.3652763227703434
430726,0,-0.2095972739609106
2219879,1,0.06358242144004655
1498043,1,-0.2893699685475005
2670960,0,-0.5776089524118851
1299827,0,0.13580790394760298
1143716,0,0.30749102601001765
1145123,0,0.5074022257970123
992477,0,-0.029230330226377416
2561694,0,0.01647267163366034
984920,0,0.2749991022066719
2740469,1,-0.0348516885494326
2126883,1,0.2571296760400221
3734878,1,0.22721438640404526
2559281,0,0.232998964469004
1723179,1,0.019434636937921246
2210240,0,0.265463927826207
1913033,0,-0.2610907769644091
2621235,1,-0.14367640953419059
330140,0,0.42493316354174543
1528441,0,-0.400725499718813
1062018,0,0.6413571127141764
2884411,1,-0.5065829144883607
3053555,0,0.2579300435887924
2713732,0,-0.08845441945043381
1259921,1,-0.269864453287298
1585876,0,-0.013030878405992999
3372351,1,-0.6241883924764849
831079,1,-0.12659294314666097
3344384,1,-0.5977598127764467
3840912,0,-0.06697163770029586
2234900,0,0.572821629342974
1082430,0,0.3503683782137701
2494497,1,-0.06448613436940262
2753436,1,-0.0753513017567246
1242288,0,0.31512974426721174
1327454,1,0.10037222802710605
535137,0,0.03409958482086862
2808566,0,0.49369926188636604
3854401,1,-0.5691651065696516
1196709,1,0.21760314438310294
992030,0,0.5506091891380561
3097440,1,-0.19950446288510876
955552,1,-0.4194117457452924
2398259,0,0.4884357146122362
3449050,1,0.14430592836716327
3488321,0,-0.47317439023272345
1522874,0,-0.7714179917391488
3516746,1,-0.1704952582374139
2428629,0,0.01342504159357905
2040961,0,-0.17417247918947185
2116846,0,0.280335402099189
2848019,0,-0.3000124034451223
2014918,0,-0.3452453351693784
2576675,1,-0.049601282802023305
1149820,1,0.45555815267513655
2173389,1,-0.06530632048593071
1447042,1,-0.28866627797376715
1136968,1,0.2018161240543822
451831,0,-0.2867569259884148
1024591,0,-0.4031316308364676
1082514,1,-0.058495859453756696
1446780,0,-0.17006082238012987
262580,1,-0.028893077272913348
597140,1,-0.6430984892912825
595995,1,-0.41656666282559907
1171619,1,-0.4393251987273636
3143802,0,-0.5829114955691922
2679218,1,-0.3109420012267567
2730082,1,0.060088991458380515
423788,1,-0.8080834715869005
1347314,0,-0.32032434065733983
1064612,0,0.28923657845462913
3801649,0,0.15492698486678744
2798546,0,0.5583671561047284
3853883,0,-0.16774909363111157
605443,0,-0.7241569451414602
1762145,1,-0.2015851307848782
1622772,1,-0.5383163823676133
2005624,0,-0.5558990625689019
2812238,0,0.053212265538458425
1133462,0,0.4874799389835669
2063983,0,-0.14649206140044646
2129803,0,0.4324559498837463
2947215,0,-0.05775978586085038
1984701,1,-0.8766139956357806
648088,1,0.05540755324498126
2229144,1,0.31276517392740794
708970,1,-0.10682635569568498
1680440,0,-0.4065829440608535
3508445,1,-0.11558307356434361
3000090,1,0.21122912129921775
2205238,1,-0.35449808586150594
2200010,1,-0.07243195390784868
1311765,1,0.5364545118612479
2541802,0,-0.21566458392693827
1592098,1,-0.42387456396452583
998338,0,-0.25331322864401323
1739786,0,-0.6468701341924142
3223298,1,-0.5185407934119515
2751551,1,-0.3935280027809351
