sample_id,z,y
1963649,0,-4.3306252827582234
2572160,1,-4.558347163111991
704301,0,-5.592063013372506
3396907,1,-2.973302759940555
2714844,0,-3.9502022777204058
2222661,1,-3.1611868558251883
2557425,1,-6.77141250465302
432793,1,-6.108367650674607
3837095,1,-4.287117970834772
3889990,0,-2.0643038485221332
1526336,0,-3.892909510471034
3751421,1,-4.320161411339816
2504446,0,-3.6498062559142253
3853132,0,-4.3484874522828365
2406494,0,-3.849213867386388
1669170,1,-5.191935175768289
2521804,0,-4.498758307678672
2253062,0,-5.811778980262492
2824026,1,-2.9792259922219806
2203774,0,-4.903546301135392
2700666,1,-3.8458614007134746
2605987,1,-4.5078979902756675
2500212,0,-4.453741324932203
3436436,0,-4.0768131898070505
713767,0,-4.216223874295407
1146976,0,-2.2879785566820647
2254185,0,-5.6513122712540875
240337,0,-2.510557680174857
2858377,0,-2.8256205290739107
2452252,1,-4.8538471536854795
2721262,1,-2.562589109139629
1919040,1,-2.117323478742025
3541102,0,-2.890553378018818
1693593,1,-2.9146007240117315
1669998,0,-4.210822847038281
2436567,1,-6.240464894767721
3801649,0,-4.168912029096219
337940,1,-6.02605333839033
1545598,1,-5.098836082156799
1988538,0,-6.061658160321479
2593351,1,-4.724472768739239
2400177,0,-4.154645689669433
2225233,1,-4.618804892163168
2796409,0,-4.080957472633918
3936319,0,-4.8350788518844405
3807533,0,-2.945561802291531
309408,1,-3.2116264772786174
409780,0,-4.721632824656776
3129751,1,-9.530226059154314
2549549,1,-7.3091128217330406
3906940,0,-4.479920413763398
2663287,1,-4.713503060515299
738693,0,-4.072599455077908
1236204,1,-2.80878143341651
1323549,1,-4.799598680628928
2215292,0,-3.6953855556542727
1547389,1,-4.164353213113224
980093,1,-4.164881411409236
440488,0,-2.079063862674102
1792940,1,-4.291242866365844
1752786,0,-2.3724881181403847
2175061,0,-1.914502842697265
1328221,1,-4.260709234124881
884136,1,-4.241234925234744
2714621,0,-4.877488141351879
3699700,0,-3.139471270033723
2993871,0,-4.533272658987704
2622674,0,-3.4477840483316475
581963,1,-4.055120130587714
3743091,1,-2.8281742708626987
1244301,0,-3.947000403635492
807890,0,-4.729403679804934
2510302,1,-4.79045348449571
1723322,0,-3.1905632231718766
3960299,1,-4.415949690251336
3548922,0,-4.039756012280409
2742785,1,-3.0419138874737075
1007190,0,-2.665618272801505
3147536,1,-4.695847629771136
1575915,1,-3.257090033840255
3518808,0,-5.75351794141216
3273856,1,-4.306547475741074
3530955,0,-4.523976744233257
3106625,0,-2.6931542542418443
2451948,0,-2.025700364321597
810266,0,-2.5661621920351916
1632536,0,-4.909686954028164
689758,1,-4.423388272523354
3309428,0,-4.644355130215682
1143788,0,-2.809991325147472
2582893,0,-5.826182460556444
2965829,0,-3.3553918219502785
694274,0,-3.4864174764258595
2970079,0,-2.0527684416332965
2648055,0,-5.4404906088638745
2431420,1,-5.020600739652392
1240783,0,-4.8335849305601615
2270269,1,-3.12634590405692
1064200,0,-1.8737182493433835
1770676,1,-3.7355615013356616
1664108,0,-4.3741889624596935
3505583,1,-3.961046933808517
2673380,0,-3.5925314725005673
1957365,1,-3.750878059865154
2250048,0,-4.473948214890119
1512850,0,-2.5242846884061203
3229361,0,-4.795810978405526
2757503,1,-2.8926221938302246
3435502,1,-5.126456777355127
1463035,1,-5.179856165391953
1272205,0,-5.531656187006113
229557,0,-8.921560728215702
2121054,1,-4.690576630611631
1021070,0,-4.162587382721579
619660,0,-5.157193176097261
1011161,0,-4.709769612678987
1062283,0,-2.1426411005725523
1310519,0,-4.313683883898331
2987706,0,-4.504289953163946
1338139,0,-2.2641582932307216
2991510,1,-2.750977853646477
219547,1,-5.291637572253744
589537,0,-3.693093352284303
2120811,0,-5.2019627371910575
1465956,1,-4.254114925462244
1767271,0,-3.3804138945230164
1285204,1,-2.18792187149107
876260,1,-2.371435290272122
3025114,1,-4.3852922860897845
199180,0,-4.232680011812269
1753552,0,-4.723246928892063
1790696,1,-4.394316883893943
3870270,1,-7.700967584230982
973963,0,-4.596748644340478
296564,1,-5.470339496755514
2625353,0,-3.845019233013304
3917037,1,-3.404233816238655
428884,0,-4.197343548208026
1815111,0,-5.144677902926619
1059093,1,-2.105933849222796
1410738,0,-3.9992480074371097
1437007,0,-4.622469354374587
1027105,0,-3.789608811930576
1026523,1,-2.7593308911352197
456680,0,-4.588997420760049
