sample_id,z,y
433738,1,0.7943609766527546
1441480,0,0.4949942148346289
656592,0,0.7128843857069828
3132603,1,1.5857811152163648
2834251,1,0.44821180036985864
3731828,0,0.6104335923446317
1450582,0,1.2244369263974522
3150007,0,1.3175770141147192
303447,0,0.5473268003473512
3206959,0,0.7225998935334672
3008836,0,0.6163154863494456
3256295,0,0.9363986347173819
1444695,0,0.6607519658520975
3297149,0,1.115605225440294
1161280,0,0.8613961685225271
1158004,0,1.3705625661877257
3506686,0,0.9702780292980372
1118301,0,0.9900884087918034
3197011,0,1.2342072707526568
3234556,0,0.5913848812898052
3458940,1,1.4988707077360905
659493,1,1.162980495042342
3257138,0,0.8116560567747539
1585941,0,1.0967085209376155
576656,1,1.043356180818485
588318,0,1.5742317677323012
2184874,0,1.481336935370144
1846004,0,1.1813717505301995
965897,1,0.909115979464722
3543434,1,0.8511292648714393
3304720,0,0.8539935044033622
972924,1,1.1678907996682044
1991432,0,1.1622352210144178
1143195,0,1.6862814426168677
1807568,1,0.7104207974431732
3058998,1,1.2985866524391603
938717,1,1.3136137182967178
594127,1,1.187846326122611
847852,1,1.3036937881747381
1303131,1,1.0791433201807663
3482621,1,0.5803421779095972
870950,0,0.9435164915083512
663623,0,0.8365560501290888
440108,0,0.4486649364542463
3487459,0,1.126291780437101
1054634,1,1.1748142399946158
1267808,1,1.302920479712347
624030,0,1.4045348619329399
2829308,1,0.8310456195476374
1235310,1,1.451633607906822
1124343,1,0.9956822615055654
3210655,0,1.1128184296392838
689746,1,0.6943332946206956
666329,1,0.9165819580184228
1740118,0,0.9821594839252652
2741755,1,0.6650562401073619
1051313,1,2.066586637809042
1486686,0,1.3529693829116471
523489,0,0.5397443685118934
531668,1,0.7912979545707525
3126479,1,0.6545456634783877
1622021,0,0.6079464995214297
202834,0,2.3925255969147328
1560742,1,1.0319747790427185
2500925,0,1.6136486582925524
3473667,0,1.1083182913779828
2157506,1,0.8316093875324791
2170269,0,1.547338402153952
3237518,1,1.4376690919881794
2182893,0,1.0451268143144725
2143847,0,0.9836452531895363
1413413,0,1.1599239707266955
1551106,0,0.6097716731092685
