sample_id,z,y
3215061,0,-20.04002687960902
1018627,1,-26.8345110193429
948965,1,-27.227556936788396
1316923,0,-20.45186710083641
1445328,1,-26.634110316457605
3747679,0,-19.555782616505628
813938,1,-26.672161085902093
3770725,0,-20.63821574404809
3889476,0,-20.44383144408585
573480,0,-20.438560523941494
288359,0,-20.471182877973284
3789045,1,-26.977273345161798
1527380,0,-19.93713206364575
859360,0,-20.559641494677823
1561518,1,-26.487741215056854
2200168,0,-20.044449024459052
3410308,0,-20.16537824861066
627882,1,-26.797587096383893
2991101,1,-26.804453181751178
665293,0,-20.397215186270223
3433191,0,-20.24273409268444
3810362,0,-20.35458850021304
1844338,1,-27.265335436896137
2926186,1,-26.914753978271808
1274571,0,-20.68097661896632
3541378,1,-26.546240634558067
2013820,1,-26.361122785675775
257026,0,-20.22554580370761
2946529,0,-20.90655679783965
2420956,0,-20.290014247318904
1130962,1,-53.45619547253343
709248,1,-26.48088033592253
1841761,1,-27.255026889328285
1950951,1,-22.76307420587417
1723377,1,-26.597560761466834
1148976,1,-26.790953047846415
2720268,1,-26.72606924203169
2476086,0,-19.93126992088981
1399570,1,-27.30412651632276
2032209,1,-27.042316028724052
3178397,1,-26.676532989316392
2147875,0,-20.125097320533218
820771,1,-26.571050888973634
2771064,1,-26.948951956039938
1744349,1,-26.50102177169568
2421488,0,-20.252769509435154
1157362,0,-20.419076316031866
3227560,0,-20.225717702834675
2565248,0,-20.411210464625498
2495704,1,-26.970928675768587
1124343,1,-26.669357710912255
3745210,1,-26.669854522120524
2686532,1,-26.45772888360889
3542985,0,-20.37115432861566
1864147,0,-20.617644228064723
716324,0,-20.086393687606506
844102,0,-20.40625208058826
1030576,0,-20.0853587117258
1620316,0,-20.170160462245295
1621828,1,-22.730839113077096
3678276,0,-20.509267014123
2481875,1,-26.66834861390528
2963894,1,-26.989816324806746
1580038,1,-26.727907797126115
2123744,1,-26.912026105784975
1545465,1,-26.79701543623568
1454991,0,-20.22007033585975
958305,1,-26.70595940720367
