sample_id,z,y
2001586,0,-4.469982650250867
1274945,1,-2.3867463851699133
2972211,0,-2.006850030889628
3899555,0,-3.310651460765113
3761422,0,-3.1102350906275813
2043308,0,-2.779192630343414
3285217,0,-3.274729754124049
1361417,1,-1.9658819543646928
3375665,0,-3.094443118011022
1385379,0,-3.4742380624655027
845814,0,-5.710490279429227
2755642,0,-2.3924426731861477
3399255,1,-3.0481837823535853
2724191,1,-4.109964675371754
1703759,1,-0.650685421217641
203399,1,-2.658976445381008
2651019,1,-3.5732708911331206
3800808,1,-3.4531320352625645
1327245,0,-2.8411940951193304
846341,1,-4.594576265815884
3725630,1,-4.27810830842963
1570962,1,-2.81385486576276
2818740,0,-3.208718985368903
3466251,1,-6.1113878226781315
1660792,0,-2.4675609669733984
2748093,1,-4.906735172481936
3678135,0,-5.302600411483612
3792560,1,-2.64452170971339
868672,1,-5.942839580432356
3348709,0,-3.2791940193412845
2879434,1,-3.1134394286733333
3483701,0,-4.0072245909027195
964343,0,-3.5005041606315768
1455197,1,-3.2440337122746983
2670787,1,-0.520791754009555
2064672,1,-2.775168867079944
1217653,1,-3.033477099637069
394008,0,-4.445045897331342
2597270,1,-3.3309794559224586
637203,0,-3.522342657200871
2599544,0,-2.5293264076558706
3866884,0,-6.492217726770604
1716429,0,-3.253364700448513
1672299,1,-2.102845518446153
726369,1,-4.682541382485243
944981,0,-3.142577885100912
3116963,1,-3.4963536518360083
3337137,0,-2.246236686839127
926174,0,-3.5010038967285992
440596,1,-4.792625156199397
505424,1,-2.314411170350974
513702,0,-2.3152700079941644
2437948,0,-4.624276652715195
3909073,0,-2.815387772165829
1077642,1,-2.6252021102196217
551223,1,-2.3098833444032216
1097137,0,-2.8067819620987455
1455318,0,-5.785544726176891
3666281,1,-3.432721593759146
3168900,0,-3.3085123361276154
270956,1,-2.095401467535604
527378,1,-1.908150004355312
1859958,1,-4.837295080109759
220169,1,-0.9957212179313888
1866564,0,-5.1757155310883425
2405135,1,-2.2180915547061377
1154620,0,-4.288974958820871
3882554,0,-3.330398676963925
2635354,1,-4.670175264707765
362872,1,-4.281406265944638
2902558,0,-2.4731900298030105
1995452,0,-5.226312998082094
3295323,0,-3.1413366401294622
1582057,1,-3.7218446845327584
1022986,1,-3.6633542163490254
3663237,0,-3.0589830771862747
2565863,0,-4.48539676705925
1477095,0,-3.2349230762615075
3720084,0,-3.006024505589199
2772438,0,-2.257354594047926
2888793,1,-2.5144906957637234
472963,0,-3.6579729288538028
2849438,1,-2.801685691633181
3505807,1,-3.8202547026839806
341436,1,-2.6434286949114205
2168832,0,-5.039057710703112
3108977,0,-3.1429831583140926
1554353,0,-3.378423874518973
547317,0,-1.8142162690124422
1875372,1,-4.167374916817518
1308844,0,-4.216178801756509
2030538,1,-2.6086612979695794
3408899,0,-2.556816679622028
2680987,0,-3.250961639274727
1162880,0,-5.016993594254341
2712519,0,-5.144457437795282
2198670,0,-3.5292965882426266
1964924,0,-3.5613170502888574
2709245,0,-3.0002930984730556
3292593,0,-4.003901189042476
669448,1,-2.8269845773625395
1880832,0,-5.592683300786992
3319969,0,-4.599736229303136
2105654,1,-5.411028405510481
3809662,0,-2.528865830327554
2472604,1,-2.9290698336823757
2038368,0,-2.532130523833097
521598,1,-4.527446994244963
1945457,0,-3.0310477194130248
3686838,1,-2.1367541908992798
3658737,1,-3.394607752462923
3041553,1,-0.636373938470092
224940,0,-3.6762847427064025
1406369,1,-4.07375986610496
1483200,1,-3.149339981284628
3088898,1,-3.354246809665377
3861013,1,-3.289549985313055
412988,1,-2.7419713751983927
1028930,0,-2.2899343756642705
2190586,1,-2.2541623596420175
2976427,1,-3.5873370582589588
2854533,1,-4.803946427282488
2473072,1,-3.5002012178440247
832845,1,-3.4287668256345114
1256714,0,-4.708960378993223
2986725,0,-3.1811874189996034
3031979,0,-5.115599149805754
3948886,1,-2.958198824083996
2941358,0,-3.198572383089458
600431,0,-3.784658420129916
2753613,1,-3.9418738763071346
2442676,1,-4.272847099332141
2756081,0,-4.425352420660791
635477,0,-6.919934300485927
2604097,0,-3.7517194089782966
2904135,0,-3.4119118594548676
1106251,1,-3.182076746037419
3359821,1,-2.816207657388592
2887925,0,-3.2929869015739652
3037541,0,-2.7680314054025366
598750,0,-1.5192944083654765
2415852,1,-2.5151669884006846
2258008,1,-3.438061250185488
1732917,1,-2.724103564926963
693461,1,-5.5096060827785465
3348594,1,-3.0929168023071516
1943587,1,-3.85789756160335
2773443,0,-3.3879277494350157
654882,1,-2.1895670412416206
1452994,0,-2.190684075099836
2404012,1,-2.862002633460576
3445760,0,-3.0707239832395072
3209953,0,-2.2531269577469994
3654190,0,-2.4132162259182257
752748,1,-0.406546748001527
479835,0,-2.4293243855067805
2036648,1,-3.9419115381292276
3070762,0,-2.6220541244088382
3752151,0,-3.870594197120047
1917873,1,-3.307294432835361
2246626,0,-4.0786246098128425
3487582,0,-3.3396147311255167
1346605,0,-5.343252754308288
420735,1,-2.6564839920411996
1428124,0,-6.093986597273879
2025311,1,-3.943448385730019
3706263,0,-2.837316043552634
1396567,0,-6.048350519409792
2154610,0,-2.6132593988543444
545852,0,-3.49320888711709
3721514,0,-3.4747655972274125
2830029,0,-2.7302636218615737
3247246,0,-2.220766567252144
318452,0,-3.2223741376932287
313583,1,-1.5039495124664197
3249148,0,-3.9449981520462174
953673,1,-2.902460036068417
3075115,0,-2.39612064891132
3089716,0,-2.930332718895571
2454906,0,-4.0488895989184615
1586074,0,-3.6813885860687234
2186386,0,-3.887732264517881
3923454,1,-3.208995120490892
3118061,1,-2.888692273647228
1328719,1,-5.899062511657419
3025368,1,-3.0029256869327488
325996,1,-3.6579092377634987
594592,0,-4.256880247178342
1684462,0,-2.9840863615204527
1096369,0,-2.738028065301426
2415367,1,-6.809105058023058
1169593,1,-2.5388292590672106
3699255,1,-1.9754650213334157
963132,1,-1.7495197497942574
819676,0,-4.573629760799702
1052589,0,-4.480050610800728
459340,0,-2.2533669640524754
1893314,1,-3.6399979709139703
1892625,1,-2.4588014716127065
337940,1,-5.860372756912841
2867065,0,-2.9192022526954062
1539627,1,-4.12024203245359
854512,1,-4.845768364558194
3261058,1,-3.2862908180123576
2164514,1,-3.972421410733631
3850100,1,-4.050927181010661
2539951,1,-2.632991963102701
3361162,1,-3.373169202530935
3931946,0,-3.3834861950648607
1953728,0,-2.860787515038175
3887167,0,-1.124754313028047
1115291,1,-2.31976838990497
3220422,0,-3.521107126809588
1318624,1,-4.594113760938623
2252860,1,-3.4175436432333197
2586060,0,-3.694722195332971
1457417,1,-4.771163320714798
1643885,1,-3.7107199464300873
2935412,1,-3.2689475924971334
605355,1,-2.1416670687411057
2548847,0,-2.902789471902023
622218,0,-2.984737007886879
2972045,0,-2.4241611906067964
405673,1,-3.3413051422114037
1267021,0,-5.425837606677679
2738507,0,-4.133375058625493
2443962,0,-3.8708688033524234
2166041,0,-5.290251489064786
3432332,0,-3.259492495316177
311677,0,-2.5411092330379286
2025414,1,-4.171337153614204
1410465,1,-4.856233030645073
2154108,1,-5.268393534796011
1066857,0,-3.5942869324895765
482932,0,-3.128996383641196
2941338,0,-1.7802977152436847
1024317,0,-3.303862668469476
310596,1,-2.251688760043101
3213732,1,-3.7644529183479327
1502248,1,-3.041596972486318
3765663,1,-2.97023972354682
551748,1,-2.086362664658611
3864659,1,-2.520355536419346
2210075,0,-3.149993100992709
1663456,0,-3.2606129765086225
484036,1,-3.5551741924456977
1779307,0,-2.992261892380687
2500393,0,-2.774560034077476
1030709,1,-4.2852602116671905
3747242,0,-2.953214351758568
3686250,0,-3.30755459837509
1528196,1,-2.6675079491130265
3684635,0,-2.3580006478711857
2166698,0,-3.256942535470948
1212765,0,-3.411074935047901
1580935,1,-4.266158324623689
2019541,0,-3.990112117369634
1733766,1,-3.003404482118195
1664419,1,-2.9251463239325037
684657,0,-4.70317667081151
2638483,1,-4.324551746629062
3368556,0,-4.146860734523549
2924402,1,-2.717178992554834
3391794,1,-2.6700599720423965
3680292,0,-3.357942823118127
208779,1,-4.640345278876183
1303783,0,-3.2906709341406515
3690175,1,-2.365448058632397
3546655,0,-8.376320706320598
2650947,1,-4.171088311038801
1215417,0,-2.3289967697045566
3887900,1,-2.858310503344783
2883076,0,-5.5413697464593215
2435868,0,-4.141444490581153
3493670,0,-2.105987201936707
646360,0,-6.288155968845284
1690895,0,-4.54060749599033
617117,1,-2.532359384337402
3664335,1,-3.2476201918652716
3123448,0,-7.583430791873036
3245781,0,-4.727576809596639
2658118,1,-4.402197459180883
2038106,0,-4.635779174706248
3654603,0,-2.060194351283062
646716,1,-2.6002861704953952
3903018,1,-4.478935455660873
2436581,1,-3.4080789302102508
3949836,0,-2.310762414754609
214657,0,-3.008193519519837
3129219,0,-2.557844900046673
3727029,1,-6.398588724533499
640643,0,-3.0646151549898004
3542295,1,-5.349232328710795
473231,0,-1.0271512177207363
3884414,1,-2.7747104602113954
2917534,0,-2.9822756359931084
3911903,1,-1.8914692136810354
3280998,1,-2.6566513073203653
607687,0,-4.379774033110148
591565,1,-3.8311007978161244
1751960,0,-5.139689920184821
235301,1,-4.621208338190293
2419961,1,-2.838375060659141
1009731,1,-3.6571596261535517
259437,0,-2.4063404520670693
