sample_id,z,y
1480330,1,1.8720150222448553
902324,1,1.7078105419226397
3508445,1,1.7475401682212726
3222606,0,1.991222233493441
1032465,0,1.7159420017471418
1114547,1,1.6264413205101025
991054,0,1.3880547032369122
1114988,1,1.770864516023285
3216474,0,1.5976024381780378
902810,0,1.5999034446640277
3289941,1,1.7928849341050284
1643289,0,1.643538383709462
1422999,0,1.7922874063377625
609691,0,1.88100649097501
862641,0,1.7036892253908844
2915733,1,1.7155671529409453
1426960,0,2.233143376667114
3249261,0,1.6333101256314897
2240056,1,1.4780951035840308
1116951,0,1.5149960770954607
3333754,0,1.7185049821444787
2774787,0,1.6818417916083932
705181,0,1.9839174471709835
2665866,0,2.228721209560465
3907098,1,1.7995461041464402
3850259,1,1.5215770614602124
3793039,0,1.80855657111049
1585387,0,1.6902229561049382
1099793,1,1.9051446213066576
2206440,1,2.167755231319473
3502585,1,1.7984629541960102
2054447,0,1.8253257453432175
3038093,1,1.761947055759225
2198655,1,1.8807117240557087
1588665,0,2.020131730633791
3388324,1,1.7704405846438127
1436676,0,1.9218710593103387
1576413,1,1.6700124624812762
3742204,0,1.8955511237706801
1432913,0,1.6709608702716137
1335901,1,1.4993578136107855
1545598,0,1.8407667172552236
2732270,1,1.3931033550236638
2394471,0,1.863218336449648
3260772,1,1.684856197961445
3501137,0,1.878500238790388
2055430,0,1.6728314274171876
565864,1,1.9037252219153957
3750556,1,1.442785891839613
730940,1,1.614953037913575
629064,0,1.1828713834243845
3059801,1,0.9549821992871564
1242238,0,2.0376778829048767
1287976,1,1.629818552548943
1709288,1,1.837265899886792
1303249,0,1.5261848264900388
2810012,0,1.658968878897767
3028998,1,2.109752598979918
1634425,1,1.4268628985136909
2898490,0,1.9666515048133077
1342845,0,1.713583040103178
3050904,1,1.5803621818855438
1440620,1,1.6366041553596586
1894907,1,1.7471163013319086
1570332,0,1.4600160453098014
3678819,1,1.7681070990258485
543521,1,2.295738915904316
892273,0,1.5364410066710181
841907,0,1.1996495247776802
2569571,0,1.9952787826539593
985927,0,1.5335282191310218
1381293,0,1.7603159376958093
1047949,0,1.4340152614468564
2280094,1,1.6950488753634256
2272253,1,1.7751450373771462
1371349,0,1.2680988289397734
3045151,0,1.6577347384094738
3528409,0,1.8690446382692136
542664,1,1.566354757120219
739270,0,1.7174968655877572
2251514,1,1.6629675841865277
2248908,1,1.6069244501409061
3375335,0,1.737258133284534
3666543,1,2.170576458229662
688749,1,1.7061698103730958
1485888,1,1.8139278776209056
2838912,0,1.772991619769022
865477,0,1.5012060789458628
2972916,1,1.652672116334291
1918002,0,1.9414141634670945
2817340,1,1.5864501706714278
1484229,1,1.6738784061045617
2548182,1,2.8323465972734208
592797,1,1.509979911460649
3861591,0,1.5324819279910784
2812775,1,1.37667142584475
584735,0,1.5841964370282176
1276103,1,1.3190092576484043
505986,0,1.9044361311662898
427073,1,1.722456865380261
2267117,1,2.1176132744393703
897837,0,1.7709273680005886
2268905,0,1.666204052343229
2598913,0,1.6618907363730249
1646521,0,2.2409723816043376
3270471,0,1.8740414725014904
2001966,1,1.579228292826033
3023485,1,1.859848870236391
3850046,1,1.897589586281087
1780412,0,1.6769003484518412
3544398,1,1.61093993864343
2872395,0,1.9751428573664445
894615,0,1.6360681283848446
3954992,0,1.7259507980507935
977381,1,1.3056268939710924
1292500,0,1.790342091027078
1364492,1,1.6365805623025629
2458479,1,1.8316044107863447
1361633,1,1.876934505691274
3358829,0,1.742208766791901
3414284,1,1.8951427635456335
463730,0,1.6470019611686273
1246268,0,1.8797644121277017
2548499,1,1.8537841079252826
3025048,1,1.4028096080678487
1892637,1,1.9734090709342564
859775,0,1.585531615502613
1071603,1,1.5037175820854518
583652,1,2.075254690565508
1995017,1,1.3715237501632593
1765580,1,2.0308306332254196
3749325,0,1.6169625767650433
3727124,0,1.9929229427556105
2634230,1,1.8663930421512933
1748592,0,2.0494087457626313
1436422,0,1.715271894414343
224509,0,1.8257000822649474
1028218,0,1.4672135926364156
3696801,0,1.8226592452140296
3509906,0,1.530509687184061
3000806,1,1.439073095113493
966680,1,2.1543535165330203
1485587,0,1.6614477881345218
3365098,0,1.884582041599695
3368613,1,1.4435382512406447
1883580,1,1.6548261739765668
3794676,1,1.5076507546754003
496761,1,1.668269386061428
370132,0,1.6263137532769325
2621456,1,1.654369944520515
3065099,0,1.4270167575170265
1259354,1,1.6864651565768922
1363350,0,1.4637201480202693
3776505,1,1.9718373934541762
3854152,0,1.9576165176467204
2923075,0,1.4304109042757003
3291472,0,1.5621951788126274
898605,1,1.5965922811901951
1253148,1,1.9143395465534598
3489081,0,1.4486552138426663
2613349,0,1.740407774701446
955045,1,1.2533937998205174
3954647,0,1.6535602447609574
1514132,0,1.530978565718346
2925987,0,1.5541547096740151
3948852,0,1.9560974668658875
3494526,1,1.6567679574887282
2472538,1,2.145221360198715
2609365,1,1.5616517201453142
3717948,0,2.1094365461314943
3326822,0,1.9698526787111403
2609325,1,1.9685400394692891
3011257,0,1.790839341661797
3948209,1,1.8365792630693167
3084736,1,1.5510606581058612
3126417,0,1.6976570994655396
2027204,0,1.9502607135836625
3738429,0,1.6289814577705015
1625785,1,1.9767756836978796
1238708,0,1.5669425416685583
1625566,1,1.7822962747200928
223818,0,2.1566854282298675
1707858,1,1.2905012233031372
514680,1,1.5293768738476536
3772899,0,1.2757170610508273
3831843,1,1.6789549041536527
1663394,1,1.3795296029544681
1619581,0,2.3141739842952234
3092950,0,1.6761815091390322
2639591,1,1.7534603138101224
3201545,1,1.450267076413894
275823,0,1.9838534842723279
1712945,1,1.952730063209381
1054061,0,1.8038554158202047
3749735,0,1.9593797570397642
1254425,1,1.7976350078163217
3328294,0,2.0791821107651565
2714774,1,1.631693695917666
1751606,0,1.827122244747434
2111550,0,1.902361054209691
3242243,0,1.8909267961460212
3703601,1,1.087063079086572
699154,1,1.086235347534508
245975,1,1.907482392607103
3265068,1,1.6067102181937738
868761,1,1.7392930423625672
2129442,0,1.4431555230590514
2837556,0,1.5534863352406132
2396208,1,1.0787205341970743
2455067,1,2.1865453861071797
1859141,1,2.0831911819570936
684891,0,1.4299456855615864
2199255,1,2.011237812941128
2236016,0,1.7792217251609945
3545446,1,1.9736729269394317
2275853,0,1.5371786519713504
2979023,1,1.9688975224898502
3681056,0,1.6608916593208949
1643905,0,1.8925372300177283
1388887,1,1.5163342256799168
2693475,1,1.7910006536737098
925093,0,1.9249897007986807
1465459,0,2.066150662025272
3434824,1,1.629032567083304
3790363,0,1.7923198534612825
1838733,1,1.4947777587025495
1331896,1,1.8926817621968612
3442760,0,1.469175312078073
1440083,1,1.3316127452881843
1755808,0,1.1722118605107479
2774404,1,1.638217896844717
1165329,1,1.7037717714968923
596000,1,1.2263813167355266
3095344,0,1.3792809904596122
840587,1,1.4274105338882204
3707744,1,1.662791606124087
631838,0,1.4295736617209314
2730678,0,1.7638448653226704
507036,1,1.707724229394372
1839710,1,1.5555413044541329
3727800,0,1.9703591379745495
3304719,0,1.6777496720010183
1641185,1,1.9545240465137081
3376498,0,1.614251633156627
2522799,0,1.7816236225566011
2872835,0,1.6390129504306572
2481082,0,1.9472475550297303
1955115,1,1.5411854257882531
1108483,1,1.568145849969781
3157773,0,1.7335384372053009
2142216,0,1.7397755983543546
980314,0,2.042341287528829
990779,0,2.0190463999656285
3893151,1,2.2343092778269744
1396369,1,1.8722005950993532
1422269,1,1.8177557092038437
2935081,0,1.8319058503916077
2180290,0,1.463092128630751
2443464,1,1.9330862703969032
1518502,1,1.939283325593482
1497975,1,1.9640150601473425
1542684,1,1.4308699660288728
830045,0,1.6283370047725731
2812556,1,1.6023532786226888
1604525,0,2.126054339741396
2139586,1,1.8714293502240054
3524570,1,1.5970344161714354
717929,0,1.7056180897683635
3097573,0,1.7939522108848243
2159419,0,1.982225732498885
612999,0,1.7305689351678226
1679814,0,1.5203419640847775
671493,1,2.2413209249249237
3062503,1,2.185956793348387
617187,0,2.0391072075718846
1867380,0,1.5843955648868535
2543050,1,1.761584531531136
2728006,0,1.8425902665246525
1073851,1,1.7279009988367617
1987272,1,2.035081815236573
2111252,0,1.9904101742993412
2160227,1,1.7459567203102582
2608090,0,1.9907697193386809
2037456,0,1.869852505958234
1463754,1,1.6742667220337992
1863213,1,2.0177210066052056
2728974,1,1.9434703594098799
2050503,0,1.9965580595999255
1341631,1,1.8718582108439965
2140756,1,1.69630772279099
721906,1,1.703659967903832
3073758,1,1.7036189426048198
3460275,1,1.3793872102810474
3750803,0,1.9593557421698842
3661130,0,1.6955429395153867
2465213,1,1.5958150640375433
1426090,1,1.9602753233499774
2697268,1,1.4487550074542734
880322,0,1.946384314498035
1030513,0,1.8983524473075895
2045119,0,1.6589110227827073
1301427,0,1.9629146678111684
436803,1,1.6829130155073586
2742747,0,1.2356829211257616
1893538,0,1.8261398999718146
991643,0,1.6528272427710797
1945990,0,1.5629322801333825
3455148,1,2.065606122342957
482999,0,1.8827953541406828
2719230,0,1.7862209670171798
1232056,0,1.6153691707885065
226537,0,1.6635371986402805
3316424,1,1.8667426807746657
2158527,0,1.7428189635478761
193451,1,2.047867600362551
670445,0,2.123152714560132
2557441,1,1.292418950619783
3774391,0,1.7371815256150387
2738651,1,1.6312293740926187
967098,1,1.9236408153135331
2196080,1,1.6788222302205755
2714585,1,1.6194280124390599
560293,0,2.142659098688854
1314854,1,1.9296736106947667
2940458,0,1.9511121846665165
2143090,0,2.2921678525705236
2659644,1,1.8541743056692486
1022664,1,2.076683522222033
301131,1,1.5354588319293556
1666222,1,1.823540714088694
1585067,1,1.7388838536301823
2143847,0,1.5605469716222127
3150333,0,2.253362198153187
2474120,1,1.320740625767298
1054673,0,1.77790675839104
2112352,0,1.8161779669542293
1768758,0,1.9761309985889686
3283732,1,1.5045336240957083
